city_town_fips,city_town,PVI,PVI_N,total_population,city_town_abbr,pop_density,land_area,water_area,median_age,median_family_income,wwc_pct,white_college_pct,race_white_pct,race_minority_pct,race_black_pct,race_hispanic_pct,race_asian_pct,below_poverty_pct,center_latitude,center_longitude,gender_male,gender_female,race_white,race_black,race_native_american,race_asian,race_hawaiian,race_other,race_multiracial,race_hispanic,vote_male_native_18_plus,vote_male_naturalized_18_plus,vote_male_non_citizen_18_plus,vote_female_native_18_plus,vote_female_naturalized_18_plus,vote_female_non_citizen_18_plus,ed_no_schooling,ed_nursery_school,ed_kindergarten,ed_1st_grade,ed_2nd_grade,ed_3rd_grade,ed_4th_grade,ed_5th_grade,ed_6th_grade,ed_7th_grade,ed_8th_grade,ed_9th_grade,ed_10th_grade,ed_11th_grade,ed_12th_grade,ed_high_school_diploma,ed_ged,ed_college_lt_1,ed_college_gt_1,ed_associates,ed_bachelors,ed_masters,ed_professional,ed_doctorate,poverty_total,below_poverty_level,above_poverty_level,white_nh,white_nh_male,white_nh_male_lt_high_school,white_nh_male_high_school_grad,white_nh_male_some_college,white_nh_male_bachelors_or_gt,white_nh_female,white_nh_female_lt_high_school,white_nh_female_high_school_grad,white_nh_female_some_college,white_nh_female_bachelors_or_gt,gender_female_pct,ed_college_degree,ed_college_degree_pct,ed_some_college,ed_some_college_pct,race_minority,race_native_pct,poverty_pct,vote_male_eligible,vote_female_eligible,vote_eligible,vote_female_pct,density_low,density_medium,density_very_low,density_high
2500103690,Barnstable,D+5,5.049612032056294,44497,Barnstable,742.4827811438498,59.93000932822855,16.53705461183604,47.5,77227,0.3509450075285974,0.28080544755826237,0.8190215070678922,0.18097849293210777,0.055531833606760006,0.05375643301795627,0.006607187001370879,0.08659640253673069,41.665488739679205,-70.36395852101491,21734,22763,36444,2471,114,294,98,535,2149,2392,14378,1189,2005,15408,1670,1784,311,0,0,0,0,0,7,20,148,51,133,213,223,299,555,7593,624,2087,3958,3452,7366,4713,989,529,44309,3837,40472,28111,13553,636,3194,3910,5813,14558,476,3296,4104,6682,0.5115625772523991,13597,0.3055711621008158,23094,0.519001280985235,8053,0.0025619704699193203,0.08659640253673069,15567,17078,32645,0.5231429009036606,0.8181818181818182,0.18181818181818182,0,0
2500107175,Bourne,D+1,0.5244533100803306,19819,Bourne,487.36198481411475,40.66587181098909,12.199058837338242,50.5,76823,0.3865482617690095,0.29325394823149503,0.8946970079216913,0.10530299207830869,0.009889499974771683,0.033705030526262676,0.016146122407790505,0.05417666075711753,41.72327373227899,-70.5816124013967,9372,10447,17732,196,41,320,0,472,390,668,7558,200,127,7981,455,134,37,0,0,0,0,10,0,5,15,0,49,100,99,88,148,3181,413,917,1895,1345,3686,1935,317,245,19178,1039,18139,13473,6052,194,1631,1624,2603,7421,208,1675,2329,3209,0.5271204399818357,6183,0.31197335889802713,10340,0.5217215803017307,2087,0.0020687219334981585,0.05417666075711753,7758,8436,16194,0.5209336791404223,0.8,0,0.2,0
2500107980,Brewster,D+13,13.48961950456291,9811,Brewster,427.65202715114697,22.94154915003467,2.5653389127671633,56.5,81625,0.41270003057792276,0.36448883905819995,0.9601467740291509,0.039853225970849046,8.1541127306085e-4,0.01579859341555397,0.006013658138823769,0.06904912502635463,41.74633724021519,-70.06756448236412,4577,5234,9420,8,0,59,0,0,169,155,3756,60,100,4297,219,39,26,0,0,0,0,0,0,0,0,4,5,0,15,97,83,1382,153,656,1021,699,1859,1335,276,242,9486,655,8831,7625,3524,41,810,1059,1614,4101,130,725,1284,1962,0.5334828254000612,3712,0.37835083070023445,6088,0.6205279787993069,391,0,0.06904912502635463,3816,4516,8332,0.5420067210753721,1,0,0,0
2500112995,Chatham,D+9,8.72745857477597,6009,Chatham,371.602591536869,16.17050078996505,16.84566260538659,62.4,78491,0.31369612248294226,0.49941754035613245,0.9482443002163422,0.05175569978365785,0.012148444000665668,0.01597603594608088,0.018971542685971045,0.06907726419921542,41.66981254346863,-69.97553156960318,2888,3121,5698,73,0,114,0,0,28,96,2400,61,76,2703,107,76,0,0,0,0,0,0,0,0,0,0,18,19,28,14,42,638,23,195,633,353,1754,993,245,148,5863,405,5458,4886,2267,99,305,461,1402,2619,13,337,670,1599,0.5193875852887335,3140,0.5225495090697287,4321,0.7190880346147446,311,0,0.06907726419921542,2461,2810,5271,0.5331056725479036,1,0,0,0
2500116775,Dennis,D+7,7.472036734671262,13927,Dennis,676.2033291970887,20.595876119889358,1.7619965806791382,57.6,67803,0.42837653478854026,0.3273497522797444,0.8922955410353989,0.10770445896460114,0.030157248510088316,0.045020463847203276,0.007754721045451282,0.08814369522705874,41.70638388914979,-70.16434294184015,6739,7188,12427,420,76,108,8,84,177,627,5589,215,171,5973,165,206,10,0,0,0,0,0,0,0,0,0,64,45,94,138,190,2506,314,716,1473,1100,2795,1485,329,111,13807,1217,12590,10525,4844,135,1273,1284,2152,5681,192,1340,1742,2407,0.5161197673583686,4720,0.3389100308752782,8009,0.575070007898327,1500,0.005457025920873124,0.08814369522705874,5804,6138,11942,0.5139842572433428,1,0,0,0
2500119295,Eastham,D+17,16.780763535000254,4896,Eastham,350.52225001086344,13.967729580214272,11.740035861170012,62.2,67127,0.4013480392156863,0.3946078431372549,0.9313725490196079,0.06862745098039216,0.003880718954248366,0.006127450980392157,0.028799019607843136,0.07189676362146662,41.839755146642496,-69.97710418094172,2158,2738,4560,19,28,141,0,91,27,30,1870,44,27,2165,146,129,9,0,0,0,0,0,0,0,0,0,12,6,10,0,52,751,89,268,514,384,1103,778,133,57,4882,351,4531,3897,1785,33,427,524,801,2112,13,353,615,1131,0.5592320261437909,2071,0.4229983660130719,3237,0.6611519607843137,336,0.005718954248366013,0.07189676362146662,1914,2311,4225,0.5469822485207101,1,0,0,0
2500123105,Falmouth,D+12,12.331515880751176,31104,Falmouth,705.9746489692767,44.058239265973434,10.390453160400742,55.7,75548,0.35603137860082307,0.37628600823045266,0.9081468621399177,0.0918531378600823,0.007941100823045267,0.02301954732510288,0.01286008230452675,0.06196999347684279,41.59126123493244,-70.59118384301713,14533,16571,28247,247,196,400,0,354,944,716,11241,554,269,13350,817,354,57,0,0,0,0,32,10,24,9,48,67,113,316,329,288,4517,319,1323,2581,2300,6474,3540,848,1165,30660,1900,28760,22778,10194,503,2422,2285,4984,12584,419,1859,3586,6720,0.5327610596707819,12027,0.38667052469135804,18231,0.5861304012345679,2857,0.006301440329218107,0.06196999347684279,11795,14167,25962,0.545682150835837,0.8571428571428571,0.14285714285714285,0,0
2500129020,Harwich,D+9,9.413595098350914,12168,Harwich,582.6502167695394,20.8838847901998,2.210093251397304,57,78932,0.40458579881656803,0.3530571992110454,0.9322813938198553,0.06771860618014464,0.020874424720578568,0.02210716633793557,0.0023011176857330702,0.04869913275517011,41.6957163342883,-70.0684443425649,5897,6271,11344,254,0,28,7,171,95,269,4794,102,103,5285,153,161,44,0,0,0,0,0,12,0,0,22,12,24,19,9,61,2077,221,457,1545,851,2259,1728,196,190,11992,584,11408,9219,4058,69,1080,1185,1724,5161,110,967,1512,2572,0.5153681788297173,4373,0.3593852728468113,7226,0.5938527284681131,824,0,0.04869913275517011,4896,5438,10334,0.5262241145732534,1,0,0,0
2500139100,Mashpee,D+5,5.28848654038222,14204,Mashpee,607.038807942181,23.39883350810892,3.854299324938957,52.2,78309,0.3981272880878626,0.278231484088989,0.8425795550549141,0.1574204449450859,0.03491974091805125,0.009645170374542383,0.02907631653055477,0.051475293281194455,41.61776687491437,-70.49076663133496,6644,7560,11968,496,549,413,0,74,567,137,4948,244,203,5938,477,120,34,0,0,0,6,0,17,11,0,11,15,27,36,9,40,2474,323,738,1634,1383,2679,1378,226,118,14065,724,13341,9607,4221,76,1074,1217,1854,5386,92,1138,2058,2098,0.5322444381864263,4401,0.30984229794424106,8156,0.5742044494508589,2236,0.038651084201633344,0.051475293281194455,5192,6415,11607,0.552683725338158,0.8,0,0.2,0
2500151440,Orleans,D+15,15.269294512161224,5812,Orleans,410.35133241420294,14.163472958175868,8.558884828810017,63,77273,0.2959394356503785,0.5206469373709567,0.9473503097040605,0.05264969029593944,0.020302821748107363,0.018754301445285615,0.013592567102546456,0.09311180339217723,41.76652794755217,-69.96744679905208,2655,3157,5506,118,0,79,0,0,0,109,2066,106,84,2663,117,78,0,0,0,0,0,0,0,0,0,0,24,0,11,17,10,630,106,350,394,319,1719,798,313,268,5778,538,5240,4746,2070,24,318,396,1332,2676,26,348,608,1694,0.5431865106675843,3098,0.5330350997935306,4161,0.7159325533379215,306,0,0.09311180339217723,2172,2780,4952,0.561389337641357,1,0,0,0
