city_town,pcts_reporting,pcts_total,Driscoll,Gouveia,Lesser,pcts_all
Abington,5,5,767,211,387,True
Acton,8,8,671,2555,555,True
Acushnet,4,4,352,268,236,True
Adams,5,5,485,165,542,True
Agawam,8,8,297,148,1942,True
Alford,1,1,30,16,42,True
Amesbury,6,6,1299,360,487,True
Amherst,10,10,689,724,2020,True
Andover,11,11,2070,770,987,True
Aquinnah,1,1,38,27,41,True
Arlington,21,21,3933,2282,2346,True
Ashburnham,2,2,276,118,158,True
Ashby,1,1,129,74,96,True
Ashfield,1,1,67,47,254,True
Ashland,6,6,931,439,656,True
Athol,3,3,310,116,299,True
Attleboro,12,12,1525,827,1009,True
Auburn,5,5,691,273,608,True
Avon,1,1,219,74,115,True
Ayer,3,3,325,273,200,True
Barnstable,13,13,2260,933,1645,True
Barre,2,2,184,85,138,True
Becket,1,1,69,52,137,True
Bedford,5,5,993,582,579,True
Belchertown,4,4,239,182,1771,True
Bellingham,5,5,621,246,363,True
Belmont,8,8,1606,849,1321,True
Berkley,2,2,192,121,124,True
Berlin,1,1,226,135,118,True
Bernardston,1,1,78,26,157,True
Beverly,12,12,4466,549,875,True
Billerica,12,12,1891,949,904,True
Blackstone,3,3,252,115,166,True
Blandford,1,1,16,11,98,True
Bolton,1,1,324,283,210,True
Boston,280,280,33507,16958,16444,True
Bourne,8,8,983,411,689,True
Boxborough,1,1,206,401,135,True
Boxford,3,3,639,110,204,True
Boylston,1,1,275,142,234,True
Braintree,12,12,2163,600,1068,True
Brewster,3,3,880,405,655,True
Bridgewater,9,9,993,366,602,True
Brimfield,1,1,53,43,146,True
Brockton,28,28,3411,1386,1635,True
Brookfield,1,1,111,50,112,True
Brookline,20,20,3731,2079,3098,True
Buckland,1,1,81,60,191,True
Burlington,7,7,1474,634,802,True
Cambridge,42,42,6355,3865,3703,True
Canton,7,7,1381,545,991,True
Carlisle,1,1,288,620,205,True
Carver,3,3,417,161,304,True
Charlemont,1,1,36,30,86,True
Charlton,5,5,436,170,371,True
Chatham,2,2,476,184,382,True
Chelmsford,13,13,1845,1939,1047,True
Chelsea,16,16,1418,395,354,True
Cheshire,1,1,194,80,254,True
Chester,1,1,16,6,71,True
Chesterfield,1,1,52,40,105,True
Chicopee,21,21,971,379,4211,True
Chilmark,1,1,132,76,95,True
Clarksburg,1,1,40,31,103,True
Clinton,4,4,556,275,341,True
Cohasset,3,3,452,153,302,True
Colrain,1,1,59,36,127,True
Concord,5,5,902,2538,666,True
Conway,1,1,85,62,226,True
Cummington,1,1,36,36,97,True
Dalton,2,2,383,149,563,True
Danvers,8,8,2514,321,554,True
Dartmouth,9,9,1483,905,890,True
Dedham,7,7,1661,588,865,True
Deerfield,1,1,167,143,480,True
Dennis,5,5,1116,375,838,True
Dighton,3,3,231,157,158,True
Douglas,3,3,235,105,170,True
Dover,1,1,278,112,225,True
Dracut,10,10,1154,698,589,True
Dudley,4,4,379,142,304,True
Dunstable,1,1,177,102,91,True
Duxbury,6,6,812,241,607,True
East Bridgewater,4,4,579,175,308,True
East Brookfield,1,1,75,22,56,True
East Longmeadow,8,8,188,61,1669,True
Eastham,1,1,561,233,411,True
Easthampton,5,5,597,518,1907,True
Easton,8,8,1148,532,751,True
Edgartown,1,1,345,121,178,True
Egremont,1,1,103,62,160,True
Erving,1,1,42,20,106,True
Essex,1,1,339,46,94,True
Everett,20,20,1513,454,622,True
Fairhaven,6,6,901,556,542,True
Fall River,27,27,2236,1595,1189,True
Falmouth,9,9,2446,1079,1753,True
Fitchburg,12,12,1100,479,740,True
Florida,1,1,31,12,37,True
Foxborough,5,5,779,301,585,True
Framingham,30,30,3491,1621,2362,True
Franklin,9,9,1516,665,1100,True
Freetown,3,3,354,186,224,True
Gardner,10,10,714,286,501,True
Georgetown,3,3,609,109,169,True
Gill,1,1,46,35,147,True
Gloucester,10,10,3029,414,748,True
Goshen,1,1,37,20,124,True
Gosnold,1,1,4,1,10,True
Grafton,5,5,650,333,558,True
Granby,3,3,81,50,452,True
Granville,1,1,23,9,66,True
Great Barrington,4,4,393,239,531,True
Greenfield,9,9,587,418,1282,True
Groton,4,4,541,460,378,True
Groveland,2,2,460,100,176,True
Hadley,1,1,155,106,585,True
Halifax,3,3,308,86,208,True
Hamilton,2,2,721,90,164,True
Hampden,1,1,42,14,433,True
Hancock,1,1,38,18,39,True
Hanover,4,4,778,214,436,True
Hanson,3,3,516,116,290,True
Hardwick,1,1,68,42,137,True
Harvard,1,1,352,389,247,True
Harwich,4,4,1076,416,727,True
Hatfield,1,1,104,84,445,True
Haverhill,28,28,3346,813,1321,True
Hawley,1,1,14,12,31,True
Heath,1,1,19,17,74,True
Hingham,8,8,1502,454,977,True
Hinsdale,1,1,102,59,158,True
Holbrook,4,4,517,181,281,True
Holden,6,6,948,444,715,True
Holland,1,1,36,15,120,True
Holliston,4,4,877,431,627,True
Holyoke,14,14,598,349,2395,True
Hopedale,1,1,241,102,155,True
Hopkinton,5,5,884,361,583,True
Hubbardston,1,1,165,74,124,True
Hudson,6,6,843,718,554,True
Hull,3,3,837,272,493,True
Huntington,1,1,48,23,127,True
Ipswich,4,4,1452,218,384,True
Kingston,4,4,535,237,403,True
Lakeville,3,3,390,141,289,True
Lancaster,2,2,296,158,197,True
Lanesborough,1,1,165,85,233,True
Lawrence,26,26,2764,723,872,True
Lee,1,1,318,131,468,True
Leicester,4,4,425,136,327,True
Lenox,1,1,330,138,616,True
Leominster,15,15,1250,584,829,True
Leverett,1,1,77,89,219,True
Lexington,9,9,2302,1299,1458,True
Leyden,1,1,39,19,70,True
Lincoln,2,2,469,361,371,True
Littleton,3,3,418,515,298,True
Longmeadow,5,5,139,56,2498,True
Lowell,39,39,3021,2082,1383,True
Ludlow,6,6,243,112,1710,True
Lunenburg,6,6,478,312,334,True
Lynn,30,30,4488,623,1007,True
Lynnfield,4,4,791,111,332,True
Malden,27,27,2927,1048,1159,True
Manchester-by-the-Sea,1,1,571,72,125,True
Mansfield,9,9,836,376,550,True
