City/Town,Ward,Pct,Obama_12,Romney_12,Clinton_16,Trump_16,US_House,State_Rep,State_Sen,PVI_N,PVI
Abington,-,1,844,705,818,717,8th Congressional,7th Plymouth,Norfolk and Plymouth,2.35578119738,D+2
Abington,-,2,742,741,739,785,8th Congressional,7th Plymouth,Norfolk and Plymouth,-2.2835234601,R+2
Abington,-,3,815,801,773,808,8th Congressional,7th Plymouth,Norfolk and Plymouth,-1.86370229212,R+2
Abington,-,4,899,904,877,878,8th Congressional,7th Plymouth,Norfolk and Plymouth,-1.61958641832,R+2
Abington,-,5,844,910,908,829,8th Congressional,7th Plymouth,Norfolk and Plymouth,-1.34907631839,R+1
Acton,-,1,1228,583,1459,438,3rd Congressional,14th Middlesex,Middlesex and Worcester,20.9296712825,D+21
Acton,-,2,1216,722,1550,480,3rd Congressional,14th Middlesex,Middlesex and Worcester,18.172391904,D+18
Acton,-,3,1378,699,1580,435,3rd Congressional,37th Middlesex,Middlesex and Worcester,20.752120643,D+21
Acton,-,4,1462,636,1675,414,3rd Congressional,37th Middlesex,Middlesex and Worcester,23.3871094052,D+23
Acton,-,5,1454,565,1580,387,3rd Congressional,37th Middlesex,Middlesex and Worcester,24.5811380397,D+25
Acton,-,6,1134,670,1354,401,3rd Congressional,14th Middlesex,Middlesex and Worcester,18.3720079388,D+18
Acushnet,-,1,1034,574,783,786,9th Congressional,11th Bristol,2nd Bristol and Plymouth,5.65705041228,D+6
Acushnet,-,2,959,803,756,1043,9th Congressional,11th Bristol,2nd Bristol and Plymouth,-3.37464034949,R+3
Acushnet,-,3,1053,819,862,1005,9th Congressional,11th Bristol,2nd Bristol and Plymouth,-0.318366471058,EVEN
Adams,-,1,525,164,439,255,1st Congressional,1st Berkshire,"Berkshire, Hampshire, Franklin and Hampden",18.1682736361,D+18
Adams,-,2,607,172,476,270,1st Congressional,1st Berkshire,"Berkshire, Hampshire, Franklin and Hampden",19.4811240563,D+19
Adams,-,3,582,169,475,268,1st Congressional,1st Berkshire,"Berkshire, Hampshire, Franklin and Hampden",19.2143959417,D+19
Adams,-,4,590,129,446,233,1st Congressional,1st Berkshire,"Berkshire, Hampshire, Franklin and Hampden",22.5705961359,D+23
Adams,-,5,709,185,577,259,1st Congressional,1st Berkshire,"Berkshire, Hampshire, Franklin and Hampden",22.7999907293,D+23
Agawam,-,1,850,665,631,827,1st Congressional,3rd Hampden,2nd Hampden and Hampshire,-1.72026770447,R+2
Agawam,-,2,952,1042,850,1069,1st Congressional,3rd Hampden,2nd Hampden and Hampshire,-5.48364659047,R+5
Agawam,-,3,890,821,770,921,1st Congressional,3rd Hampden,2nd Hampden and Hampshire,-2.74044281367,R+3
