city_town,Ward,Pct,PVI,PVI_N
Fairhaven,-,1,D+9,8.537276719568442
Fairhaven,-,2,D+5,4.519144582232137
Fairhaven,-,3,R+1,-0.7645002494240716
Fairhaven,-,4,D+1,1.4887902423349253
Fairhaven,-,5,R+2,-1.949920970281288
Fairhaven,-,6,R+1,-1.0963604560233264
Marion,-,1,D+12,12.02633774130174
Mattapoisett,-,1,D+5,4.95170802343603
New Bedford,3,A,D+21,21.16521635100803
New Bedford,4,D,D+21,21.224192358566974
New Bedford,4,E,D+15,14.88185487703072
New Bedford,1,A,D+4,3.9919938126588117
New Bedford,1,B,D+3,3.0131987478755007
New Bedford,1,C,D+4,4.073254411867411
New Bedford,2,A,D+20,19.89387530526119
New Bedford,2,B,D+14,13.946792071246106
New Bedford,2,C,D+10,9.946228240196664
New Bedford,2,D,D+4,3.852994396244147
New Bedford,2,E,D+5,4.818391458728599
New Bedford,2,F,D+8,7.540752693156982
New Bedford,3,B,D+24,23.557319197656334
New Bedford,3,C,D+16,15.591376585696025
New Bedford,4,A,D+29,29.17688467257755
New Bedford,4,B,D+24,24.46654872994167
New Bedford,4,C,D+27,26.81169811935615
New Bedford,4,F,D+23,22.76634400369606
New Bedford,5,A,D+17,16.534990649011995
New Bedford,5,B,D+22,21.909937636609257
New Bedford,5,C,D+10,10.151034124704594
New Bedford,5,D,D+21,20.826690938919047
New Bedford,5,E,D+11,11.425369782242345
New Bedford,5,F,D+13,12.659141055353851
New Bedford,6,A,D+8,8.115720765295775
New Bedford,6,B,D+8,7.989926922079005
New Bedford,6,C,D+22,22.19045910739199
New Bedford,6,D,D+14,14.4257174660546
New Bedford,6,E,D+16,15.947877570729274
New Bedford,6,F,D+15,14.697241914760262
New Bedford,1,D,D+1,0.8504046298618562
New Bedford,1,E,D+7,6.583959224296354
New Bedford,1,F,R+2,-2.4683849987795714
New Bedford,3,D,D+15,14.602889403531883
New Bedford,3,E,D+11,10.838748354085492
New Bedford,3,F,D+14,13.91990969247453
Rochester,-,1,R+6,-6.14547800514087
Lynn,1,3,D+10,10.450508516588231
