city_town,Ward,Pct,State Rep,State Senate,US House,Gov Council,Biden_20,Trump_20,Clinton_16,Trump_16,County
Fairhaven,-,1,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,1000,601,832,606,Bristol
Fairhaven,-,2,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,913,688,744,600,Bristol
Fairhaven,-,3,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,640,638,581,536,Bristol
Fairhaven,-,4,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,875,713,705,675,Bristol
Fairhaven,-,5,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,874,839,711,759,Bristol
Fairhaven,-,6,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,791,796,691,648,Bristol
Marion,-,1,10th Bristol,1st Plymouth and Bristol,9th Congressional,1st District,2369,1244,1861,1159,Plymouth
Mattapoisett,-,1,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,2730,1888,2125,1820,Plymouth
New Bedford,3,A,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,400,174,394,121,Bristol
New Bedford,4,D,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,648,248,637,228,Bristol
New Bedford,4,E,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,597,313,539,256,Bristol
New Bedford,1,A,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,818,658,610,476,Bristol
New Bedford,1,B,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,682,586,624,493,Bristol
New Bedford,1,C,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,639,555,656,470,Bristol
New Bedford,2,A,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,213,118,272,74,Bristol
New Bedford,2,B,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,494,303,540,237,Bristol
New Bedford,2,C,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,395,270,378,210,Bristol
New Bedford,2,D,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,424,353,435,333,Bristol
New Bedford,2,E,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,574,473,529,374,Bristol
New Bedford,2,F,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,583,432,547,344,Bristol
New Bedford,3,B,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,457,207,537,119,Bristol
New Bedford,3,C,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,401,237,436,169,Bristol
New Bedford,4,A,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,476,164,559,80,Bristol
New Bedford,4,B,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,865,294,801,226,Bristol
New Bedford,4,C,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,814,255,787,182,Bristol
New Bedford,4,F,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,652,259,646,185,Bristol
New Bedford,5,A,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,490,255,483,197,Bristol
New Bedford,5,B,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,776,301,717,233,Bristol
New Bedford,5,C,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,552,375,551,304,Bristol
New Bedford,5,D,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,893,345,811,299,Bristol
New Bedford,5,E,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,943,528,822,501,Bristol
New Bedford,5,F,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,904,510,795,429,Bristol
New Bedford,6,A,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,662,455,634,414,Bristol
New Bedford,6,B,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,586,455,589,337,Bristol
New Bedford,6,C,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,300,144,395,101,Bristol
New Bedford,6,D,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,268,181,311,115,Bristol
New Bedford,6,E,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,381,238,432,150,Bristol
New Bedford,6,F,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,496,277,494,223,Bristol
