City/Town,Ward,Pct,Maura Healey,Sonia Rosa Chang-Diaz,All Others,Blanks,Total Votes Cast
Abington,-,1,248,30,1,7,286
Abington,-,2,233,32,3,6,274
Abington,-,3,251,54,4,7,316
Abington,-,4,270,48,1,4,323
Abington,-,5,274,39,0,5,318
Acton,-,1,343,49,0,10,402
Acton,-,2,550,62,1,22,635
Acton,-,3,645,78,0,7,730
Acton,-,4,485,89,2,14,590
Acton,-,5,515,66,2,17,600
Acton,-,6,396,36,0,6,438
Acton,-,6A,157,18,0,2,177
Acton,-,7,441,51,0,12,504
Acushnet,-,1,247,61,0,7,315
Acushnet,-,2,199,51,2,7,259
Acushnet,-,2A,24,3,0,1,28
Acushnet,-,3,256,71,2,11,340
Adams,-,1,177,47,0,16,240
Adams,-,2,218,46,0,13,277
Adams,-,3,205,40,1,25,271
Adams,-,4,178,33,1,10,222
Adams,-,5,265,55,0,28,348
Agawam,-,1,183,41,0,8,232
Agawam,-,2,284,49,1,21,355
Agawam,-,3,228,36,1,15,280
Agawam,-,4,189,42,1,14,246
Agawam,-,5,302,63,0,15,380
Agawam,-,6,237,44,0,13,294
Agawam,-,7,273,40,1,13,327
Agawam,-,8,297,49,0,11,357
Alford,-,1,86,10,0,6,102
Amesbury,-,1,423,40,1,12,476
Amesbury,-,2,345,38,0,8,391
Amesbury,-,3,425,40,0,5,470
Amesbury,-,4,234,27,0,8,269
Amesbury,-,5,311,37,0,10,358
Amesbury,-,6,282,49,0,7,338
Amherst,-,1A,285,43,2,4,334
Amherst,-,1B,153,18,0,2,173
Amherst,-,2A,183,17,0,5,205
Amherst,-,2B,513,57,1,5,576
Amherst,-,3A,180,26,0,3,209
Amherst,-,3B,426,76,0,17,519
Amherst,-,4A,277,41,0,12,330
Amherst,-,4B,160,15,0,5,180
Amherst,-,5A,158,25,1,4,188
Amherst,-,5B,890,57,2,13,962
Andover,-,1,289,38,0,5,332
Andover,-,2,350,55,3,2,410
Andover,-,3,476,52,3,8,539
Andover,-,4,201,29,0,9,239
Andover,-,4A,70,26,0,1,97
Andover,-,5,355,57,1,5,418
Andover,-,6,286,30,3,5,324
Andover,-,7,363,41,1,15,420
Andover,-,8,408,65,1,17,491
Andover,-,9,348,42,1,8,399
Andover,-,10,401,33,0,9,443
Aquinnah,-,1,103,17,0,4,124
Arlington,-,1,205,45,2,6,258
Arlington,-,2,421,62,0,13,496
Arlington,-,3,405,54,1,8,468
Arlington,-,4,353,60,2,4,419
Arlington,-,5,403,52,0,7,462
Arlington,-,6,395,43,0,7,445
Arlington,-,7,388,45,3,6,442
Arlington,-,8,476,47,1,12,536
Arlington,-,9,304,57,0,9,370
Arlington,-,10,528,50,0,5,583
Arlington,-,11,386,55,1,8,450
Arlington,-,12,579,42,0,3,624
Arlington,-,13,391,27,0,7,425
Arlington,-,14,373,32,0,5,410
Arlington,-,15,368,30,1,5,404
Arlington,-,16,423,40,0,9,472
Arlington,-,17,306,48,0,3,357
Arlington,-,18,352,30,0,8,390
Arlington,-,19,461,32,0,7,500
Arlington,-,20,386,49,0,8,443
Arlington,-,21,394,46,0,6,446
Ashburnham,-,1,254,37,0,0,291
Ashburnham,-,2,264,36,1,6,307
Ashby,-,1,274,36,0,3,313
Ashfield,-,1,346,39,0,9,394
Ashland,-,1,266,45,0,3,314
Ashland,-,2,369,52,0,5,426
Ashland,-,3,273,35,0,5,313
Ashland,-,4,294,39,0,5,338
Ashland,-,5,339,37,0,6,382
Ashland,-,6,355,47,0,6,408
Athol,-,1,236,49,0,5,290
Athol,-,2,172,34,1,0,207
Athol,-,3,215,34,0,1,250
Attleboro,1,A,199,52,0,14,265
Attleboro,1,B,186,39,1,2,228
Attleboro,2,A,319,70,1,13,403
Attleboro,2,B,224,54,1,6,285
Attleboro,3,A,334,68,0,6,408
Attleboro,3,B,282,50,2,2,336
Attleboro,4,A,206,50,0,11,267
Attleboro,4,B,314,59,2,17,392
Attleboro,5,A,169,39,0,3,211
Attleboro,5,B,257,58,0,5,320
Attleboro,6,A,228,50,2,5,285
Attleboro,6,B,276,54,0,5,335
Auburn,-,1,296,40,0,5,341
Auburn,-,2,293,29,0,8,330
Auburn,-,3,323,45,0,5,373
Auburn,-,4,267,52,0,3,322
Auburn,-,5,275,52,1,3,331
Avon,-,1,382,69,0,8,459
Ayer,-,1,216,50,0,3,269
Ayer,-,2,295,32,0,7,334
Ayer,-,3,187,38,0,2,227
Barnstable,-,1,592,47,0,11,650
Barnstable,-,2,458,50,0,11,519
Barnstable,-,3,353,38,0,7,398
Barnstable,-,4,450,46,0,3,499
Barnstable,-,5,559,36,1,0,596
Barnstable,-,6,434,39,1,6,480
Barnstable,-,7,542,59,1,7,609
Barnstable,-,8,258,55,0,3,316
Barnstable,-,9,84,22,0,1,107
Barnstable,-,10,140,14,2,5,161
Barnstable,-,11,242,30,0,1,273
Barnstable,-,12,195,19,0,5,219
Barnstable,-,13,279,42,1,6,328
Barre,-,1,200,42,0,0,242
Barre,-,2,162,20,0,1,183
Becket,-,1,216,52,4,17,289
Bedford,-,1,563,64,1,11,639
Bedford,-,2,285,38,0,8,331
Bedford,-,2A,110,10,0,2,122
Bedford,-,3,627,59,0,7,693
Bedford,-,4,529,53,2,15,599
Belchertown,-,A,526,75,0,10,611
Belchertown,-,B,379,59,0,14,452
Belchertown,-,C,456,58,0,14,528
Belchertown,-,D,558,80,2,6,646
Bellingham,-,1,219,33,0,5,257
Bellingham,-,2,278,24,2,1,305
Bellingham,-,3,280,37,0,7,324
Bellingham,-,4,193,19,0,3,215
Bellingham,-,5,169,41,1,4,215
Belmont,-,1,502,36,0,15,553
Belmont,-,2,467,51,0,8,526
Belmont,-,3,415,55,1,12,483
Belmont,-,4,330,64,1,6,401
Belmont,-,5,419,56,0,16,491
Belmont,-,6,668,62,0,14,744
Belmont,-,7,430,60,2,5,497
Belmont,-,8,405,44,0,10,459
Berkley,-,1,235,40,2,7,284
Berkley,-,2,167,34,0,9,210
Berlin,-,1,415,77,1,6,499
Bernardston,-,1,217,42,0,5,264
Beverly,1,1,360,47,1,7,415
Beverly,1,2,468,59,2,12,541
Beverly,2,1,379,78,0,11,468
Beverly,2,2,507,67,1,9,584
Beverly,3,1,238,60,0,7,305
Beverly,3,2,404,35,4,11,454
Beverly,4,1,264,23,0,13,300
Beverly,4,2,754,78,3,13,848
Beverly,5,1,471,58,1,17,547
Beverly,5,2,386,59,2,7,454
Beverly,6,1,538,65,2,17,622
Beverly,6,2,511,68,1,22,602
Billerica,-,1,253,42,2,7,304
Billerica,-,2,292,55,2,5,354
Billerica,-,3,253,62,4,2,321
Billerica,-,4,263,43,0,6,312
Billerica,-,5,360,51,1,12,424
Billerica,-,6,247,46,0,4,297
Billerica,-,7,307,45,1,3,356
Billerica,-,8,254,53,1,6,314
Billerica,-,9,249,36,1,7,293
Billerica,-,10,276,52,2,4,334
Billerica,-,11,212,43,5,6,266
Billerica,-,12,289,57,2,7,355
Blackstone,-,1,144,27,0,1,172
Blackstone,-,2,171,28,0,1,200
Blackstone,-,3,159,32,0,0,191
Blandford,-,1,99,8,0,1,108
Bolton,-,1,785,87,1,6,879
Boston,1,1,206,45,1,8,260
Boston,1,2,107,25,1,10,143
