city_town,Ward,Pct,State_Rep,State_Senate,US_House,Gov_Council
Abington,-,1,Seventh Plymouth,Norfolk and Plymouth,8,Fourth
Abington,-,2,Seventh Plymouth,Norfolk and Plymouth,8,Fourth
Abington,-,3,Seventh Plymouth,Norfolk and Plymouth,8,Fourth
Abington,-,4,Seventh Plymouth,Norfolk and Plymouth,8,Fourth
Abington,-,5,Seventh Plymouth,Norfolk and Plymouth,8,Fourth
Acton,-,1,Fourteenth Middlesex,Middlesex and Worcester,3,Third
Acton,-,2,Fourteenth Middlesex,Middlesex and Worcester,3,Third
Acton,-,3,Thirty-Seventh Middlesex,Middlesex and Worcester,3,Third
Acton,-,4,Thirty-Seventh Middlesex,Middlesex and Worcester,3,Third
Acton,-,5,Thirty-Seventh Middlesex,Middlesex and Worcester,3,Third
Acton,-,6,Fourteenth Middlesex,Middlesex and Worcester,3,Third
Acton,-,6A,Thirty-Seventh Middlesex,Middlesex and Worcester,3,Third
Acton,-,7,Fourteenth Middlesex,Middlesex and Worcester,3,Third
Acushnet,-,1,Tenth Bristol,Second Bristol and Plymouth,9,First
Acushnet,-,2,Eighth Bristol,Second Bristol and Plymouth,9,First
Acushnet,-,2A,Tenth Bristol,Second Bristol and Plymouth,9,First
Acushnet,-,3,Eighth Bristol,Second Bristol and Plymouth,9,First
Adams,-,1,First Berkshire,"Berkshire, Hampden, Franklin & Hampshire",1,Eighth
Adams,-,2,First Berkshire,"Berkshire, Hampden, Franklin & Hampshire",1,Eighth
Adams,-,3,First Berkshire,"Berkshire, Hampden, Franklin & Hampshire",1,Eighth
Adams,-,4,First Berkshire,"Berkshire, Hampden, Franklin & Hampshire",1,Eighth
Adams,-,5,First Berkshire,"Berkshire, Hampden, Franklin & Hampshire",1,Eighth
Agawam,-,1,Sixth Hampden,Hampden and Hampshire,1,Eighth
Agawam,-,2,Third Hampden,Hampden and Hampshire,1,Eighth
Agawam,-,3,Third Hampden,Hampden and Hampshire,1,Eighth
Agawam,-,4,Third Hampden,Hampden and Hampshire,1,Eighth
Agawam,-,5,Third Hampden,Hampden and Hampshire,1,Eighth
Agawam,-,6,Third Hampden,Hampden and Hampshire,1,Eighth
Agawam,-,7,Third Hampden,Hampden and Hampshire,1,Eighth
Agawam,-,8,Third Hampden,Hampden and Hampshire,1,Eighth
Alford,-,1,Third Berkshire,"Berkshire, Hampden, Franklin & Hampshire",1,Eighth
Amesbury,-,1,Fourteenth Essex,Second Essex and Middlesex,6,Fifth
Amesbury,-,2,First Essex,Second Essex and Middlesex,6,Fifth
Amesbury,-,3,First Essex,Second Essex and Middlesex,6,Fifth
Amesbury,-,4,First Essex,Second Essex and Middlesex,6,Fifth
Amesbury,-,5,First Essex,Second Essex and Middlesex,6,Fifth
Amesbury,-,6,Fourteenth Essex,Second Essex and Middlesex,6,Fifth
Amherst,-,1A,Third Hampshire,"Hampshire, Franklin and Worcester",2,Eighth
Amherst,-,1B,Third Hampshire,"Hampshire, Franklin and Worcester",2,Eighth
Amherst,-,2A,Third Hampshire,"Hampshire, Franklin and Worcester",2,Eighth
Amherst,-,2B,Third Hampshire,"Hampshire, Franklin and Worcester",2,Eighth
Amherst,-,3A,Third Hampshire,"Hampshire, Franklin and Worcester",2,Eighth
Amherst,-,3B,Third Hampshire,"Hampshire, Franklin and Worcester",2,Eighth
Amherst,-,4A,Third Hampshire,"Hampshire, Franklin and Worcester",2,Eighth
Amherst,-,4B,Third Hampshire,"Hampshire, Franklin and Worcester",2,Eighth
Amherst,-,5A,Third Hampshire,"Hampshire, Franklin and Worcester",2,Eighth
Amherst,-,5B,Third Hampshire,"Hampshire, Franklin and Worcester",2,Eighth
Andover,-,1,Eighteenth Essex,Second Essex and Middlesex,6,Fifth
Andover,-,10,Eighteenth Essex,Second Essex and Middlesex,6,Fifth
Andover,-,2,Seventeenth Essex,Second Essex and Middlesex,6,Fifth
Andover,-,3,Seventeenth Essex,Second Essex and Middlesex,6,Fifth
Andover,-,4,Seventeenth Essex,Second Essex and Middlesex,6,Fifth
Andover,-,4A,Eighteenth Essex,Second Essex and Middlesex,6,Fifth
Andover,-,5,Eighteenth Essex,Second Essex and Middlesex,6,Fifth
Andover,-,6,Eighteenth Essex,Second Essex and Middlesex,6,Fifth
Andover,-,7,Eighteenth Essex,Second Essex and Middlesex,6,Fifth
Andover,-,8,Eighteenth Essex,Second Essex and Middlesex,6,Fifth
Andover,-,9,Eighteenth Essex,Second Essex and Middlesex,6,Fifth
Aquinnah,-,1,"Barnstable, Dukes and Nantucket",Cape and Islands,9,First
Arlington,-,1,Twenty-Third Middlesex,Fourth Middlesex,5,Third
Arlington,-,10,Twenty-Fourth Middlesex,Fourth Middlesex,5,Third
Arlington,-,11,Twenty-Third Middlesex,Fourth Middlesex,5,Third
Arlington,-,12,Twenty-Fourth Middlesex,Fourth Middlesex,5,Third
Arlington,-,13,Twenty-Third Middlesex,Fourth Middlesex,5,Third
Arlington,-,14,Twenty-Third Middlesex,Fourth Middlesex,5,Third
Arlington,-,15,Twenty-Third Middlesex,Fourth Middlesex,5,Third
Arlington,-,16,Twenty-Third Middlesex,Fourth Middlesex,5,Third
Arlington,-,17,Twenty-Third Middlesex,Fourth Middlesex,5,Third
Arlington,-,18,Twenty-Third Middlesex,Fourth Middlesex,5,Third
