City/Town,McGovern/ Shriver,Nixon/ Agnew,Jenness/ Pulley,Schmitz/ Anderson,Fisher/ Gunderson,Spock/ Hobson,Hall/ Tyner,Hospers/ Nathan,All Others,No Preference,Blanks,Total Votes Cast
Abington,2540,2858,27,11,0,0,0,0,0,0,102,5538
Acton,3156,4448,22,11,0,1,2,0,0,0,95,7735
Acushnet,2429,1467,12,21,0,0,1,0,0,0,69,3999
Adams,3490,2093,24,11,0,0,0,0,4,0,92,5714
Agawam,4798,4872,36,3,0,0,0,3,1,0,121,9834
Alford,49,118,2,5,0,0,0,0,1,0,3,178
Amesbury,2432,2690,26,0,0,0,0,0,0,0,86,5234
Amherst,6365,2920,68,0,0,0,0,0,0,0,45,9398
Andover,4955,7054,42,9,0,0,0,0,0,0,223,12283
Aquinnah,59,30,0,0,0,0,0,0,0,0,4,93
Arlington,15853,11755,108,48,7,2,1,0,0,0,470,28244
Ashburnham,784,816,4,0,0,0,0,0,0,0,25,1629
Ashby,340,611,5,3,0,0,0,0,0,0,10,969
Ashfield,258,372,24,0,0,0,0,0,0,0,5,659
Ashland,2003,1915,25,0,0,0,0,0,0,0,74,4017
Athol,1969,2751,13,0,0,0,0,0,0,0,89,4822
Attleboro,5934,6968,39,36,0,0,0,0,0,0,199,13176
Auburn,3624,3963,24,20,0,0,1,0,0,0,84,7716
Avon,1169,1063,9,5,0,0,0,0,0,0,36,2282
Ayer,874,1004,9,2,0,0,0,0,1,0,29,1919
Barnstable,4521,7237,51,32,0,2,1,0,0,0,167,12011
Barre,1004,876,8,2,0,0,0,0,0,0,28,1918
Becket,161,241,1,0,0,0,0,0,0,0,6,409
Bedford,2590,3076,22,15,1,0,1,1,0,0,79,5785
Belchertown,1050,1028,8,8,0,0,0,0,0,0,25,2119
Bellingham,3010,2390,19,3,0,0,0,0,0,0,73,5495
Belmont,7537,7806,36,63,0,2,1,0,0,0,518,15963
Berkley,375,413,6,0,0,0,0,0,0,0,10,804
Berlin,311,618,3,0,0,0,0,0,0,0,22,954
Bernardston,205,540,6,1,0,0,0,0,0,0,6,758
Beverly,9163,8837,50,20,2,0,0,0,0,0,269,18341
Billerica,6164,5582,49,18,0,0,0,0,1,0,201,12015
Blackstone,1624,1060,24,2,0,0,0,0,0,0,53,2763
Blandford,109,343,3,3,0,0,0,0,0,0,7,465
Bolton,406,617,7,1,0,0,0,0,0,0,12,1043
Boston,139598,70298,982,44,0,4,12,0,1,0,5997,216936
Bourne,1615,2510,18,2,0,0,0,0,0,0,58,4203
Boxborough,270,516,3,0,0,0,0,0,0,0,8,797
Boxford,588,1457,7,0,0,0,0,0,0,0,28,2080
Boylston,571,801,3,0,0,0,0,0,0,0,17,1392
Braintree,8650,8557,65,33,0,2,0,0,0,0,292,17599
Brewster,643,1098,7,3,0,0,0,0,3,0,13,1767
Bridgewater,2570,2445,18,0,0,0,0,0,0,0,96,5129
Brimfield,362,516,5,1,0,0,0,0,0,0,9,893
Brockton,18246,15618,174,43,1,0,1,1,0,0,915,34999
Brookfield,382,580,1,3,0,0,0,0,0,0,7,973
Brookline,18360,10911,130,8,0,1,1,0,0,0,638,30049
Buckland,267,622,2,2,0,0,0,0,0,0,20,913
Burlington,4974,4360,37,13,2,0,0,0,0,0,153,9539
Cambridge,30486,10464,172,0,0,0,0,0,71,0,636,41829
Canton,4419,4021,28,0,0,0,0,0,0,0,135,8603
Carlisle,571,896,1,4,0,0,0,2,0,0,23,1497
Carver,570,708,4,3,0,0,0,0,0,0,22,1307
Charlemont,109,312,0,0,0,0,0,0,0,0,6,427
Charlton,863,1013,8,1,1,2,0,0,0,0,17,1905
Chatham,882,2242,51,15,9,0,0,1,0,0,36,3236
Chelmsford,6158,8017,45,13,0,0,0,0,0,0,194,14427
Chelsea,7681,3507,69,6,2,0,1,3,0,0,327,11596
Cheshire,765,608,8,5,0,0,0,0,0,0,30,1416
Chester,203,247,2,0,0,0,0,0,0,0,11,463
Chesterfield,132,230,2,3,0,0,0,0,0,0,4,371
Chicopee,15583,10081,139,31,0,0,1,0,0,0,515,26350
Chilmark,124,153,0,0,0,0,0,0,0,0,3,280
Clarksburg,405,430,1,1,0,0,0,0,0,0,9,846
Clinton,3301,2653,31,1,0,0,0,0,0,0,130,6116
Cohasset,1607,2201,13,4,0,0,0,2,0,0,74,3901
Colrain,200,416,0,0,0,0,0,0,0,0,13,629
Concord,3904,4140,33,17,0,0,0,2,6,0,134,8236
Conway,277,275,1,0,0,0,0,0,2,0,6,561
Cummington,112,244,0,2,0,0,0,0,0,0,6,364
Dalton,1582,1720,16,21,0,0,0,0,0,0,40,3379
Danvers,5339,5674,44,4,0,1,0,0,0,0,294,11356
Dartmouth,4975,4828,27,53,2,1,0,0,0,0,170,10056
Dedham,7209,6041,61,51,2,1,0,0,0,0,257,13622
Deerfield,930,941,12,4,0,0,0,0,0,0,34,1921
Dennis,1736,3323,6,3,0,1,0,0,6,0,60,5135
Dighton,844,1183,12,2,0,0,0,0,0,0,32,2073
Douglas,755,775,7,1,0,0,0,0,0,0,21,1559
Dover,778,1802,7,3,0,1,0,0,0,0,22,2613
Dracut,4786,3846,55,8,0,0,0,0,2,0,162,8859
Dudley,2000,1441,16,4,0,0,0,0,0,0,51,3512
Dunstable,227,386,1,3,0,0,0,0,0,0,3,620
Duxbury,1612,3073,15,10,0,2,0,0,10,0,50,4772
E. Bridgewater,1485,2026,10,7,0,0,0,0,0,0,69,3597
E. Brookfield,355,452,3,0,0,0,0,0,0,0,16,826
E. Longmeadow,2226,4024,17,4,0,0,0,0,0,0,65,6336
Eastham,510,988,5,23,0,0,0,0,0,0,10,1536
Easthampton,3318,3130,57,69,0,0,0,0,0,0,158,6732
Easton,2316,3271,20,6,0,0,0,0,0,0,81,5694
Edgartown,425,644,2,0,0,0,0,0,1,0,20,1092
Egremont,190,401,1,13,0,0,0,0,0,0,12,617
Erving,245,355,2,3,0,0,0,0,0,0,13,618
Essex,516,861,11,4,0,0,0,0,0,0,24,1416
Everett,11352,6403,89,7,0,0,2,0,0,0,436,18289
Fairhaven,3908,3367,27,13,0,0,0,0,0,0,118,7433
Fall River,24379,14088,195,19,0,2,0,0,0,0,920,39603
Falmouth,4117,4989,27,0,0,0,0,0,19,0,143,9295
Fitchburg,10681,7114,76,11,0,1,0,0,0,0,319,18202
Florida,124,187,0,0,0,0,0,0,0,0,4,315
Foxborough,2628,3124,21,12,0,2,0,1,0,0,92,5880
Framingham,15653,12975,84,19,0,0,0,0,0,0,441,29172
Franklin,3803,3000,21,2,2,0,0,0,0,0,113,6941
Freetown,762,927,9,0,0,0,0,0,0,0,38,1736
Gardner,5100,3498,22,7,0,0,0,0,6,0,180,8813
Georgetown,944,1531,4,2,0,0,0,0,0,0,30,2511
Gill,243,355,3,0,0,0,0,0,0,0,13,614
Gloucester,6150,6076,37,10,0,1,0,0,4,0,215,12523
Goshen,76,176,2,3,0,0,0,0,0,0,8,265
Gosnold,10,47,0,0,0,0,0,0,0,0,4,61
Grafton,2422,2286,17,5,0,0,0,0,0,0,77,4807
Granby,969,1113,14,0,0,0,0,0,0,0,26,2122
Granville,114,418,4,3,0,1,0,0,0,0,6,546
Great Barrington,1399,1599,16,27,0,0,0,0,0,0,54,3095
Greenfield,3662,4677,38,0,0,0,0,0,0,0,253,8630
Groton,922,1444,7,5,0,0,0,0,6,0,30,2414
Groveland,999,1267,13,5,0,1,0,0,0,0,31,2316
Hadley,1059,919,11,0,0,0,0,0,0,0,44,2033
Halifax,709,839,12,3,0,0,0,0,0,0,21,1584
Hamilton,1203,2070,15,2,0,0,0,0,0,0,32,3322
Hampden,666,1162,7,0,0,0,0,0,0,0,22,1857
Hancock,121,196,0,0,0,0,0,0,0,0,3,320
Hanover,2001,2631,11,4,0,0,0,0,0,0,78,4725
Hanson,1267,1636,14,7,0,2,1,0,0,0,37,2964
Hardwick,600,444,4,0,0,0,0,0,0,0,20,1068
Harvard,678,981,5,32,0,0,0,0,0,0,36,1732
Harwich,1350,2813,19,7,22,0,0,1,0,0,62,4274
Hatfield,726,706,6,3,0,0,0,0,0,0,24,1465
Haverhill,11188,9340,84,20,0,3,0,0,0,0,490,21125
Hawley,28,65,0,0,0,0,0,0,0,0,1,94
Heath,54,114,2,1,0,0,0,0,0,0,3,174
Hingham,4290,5444,28,12,2,1,0,1,0,0,132,9910
Hinsdale,299,342,3,0,0,0,0,0,0,0,16,660
Holbrook,2492,2300,26,6,1,1,1,0,2,0,75,4904
Holden,2172,4270,17,0,0,0,0,0,0,0,76,6535
Holland,240,305,2,0,0,0,0,0,0,0,6,553
Holliston,2411,2920,16,2,0,0,0,0,0,0,64,5413
Holyoke,11258,8275,121,13,0,0,0,0,5,0,533,20205
Hopedale,968,1156,11,1,0,0,0,0,2,0,33,2171
Hopkinton,1315,1429,13,5,0,3,0,1,0,0,39,2805
Hubbardston,263,389,3,1,0,0,0,0,0,0,12,668
Hudson,3301,2826,24,7,0,0,0,0,0,0,108,6266
Hull,2771,1746,9,5,0,0,0,0,0,0,85,4616
Huntington,254,446,4,4,0,0,0,0,0,0,3,711
Ipswich,2437,3144,19,6,1,0,0,0,0,0,82,5689
Kingston,1400,1470,8,2,0,0,0,0,0,0,48,2928
Lakeville,751,1228,6,4,0,0,0,0,0,0,24,2013
Lancaster,748,1505,7,8,0,1,0,0,0,0,30,2299
Lanesborough,617,611,6,7,0,0,0,0,0,0,26,1267
Lawrence,18373,10129,175,44,0,0,0,0,3,0,778,29502
Lee,1255,1201,3,8,0,0,0,0,2,0,60,2529
Leicester,2079,1752,15,1,0,0,0,0,0,0,52,3899
Lenox,1248,1349,13,0,0,0,0,0,0,0,64,2644
Leominster,7730,6554,37,0,0,0,0,0,13,0,262,14596
Leverett,328,275,8,0,0,0,0,0,0,0,4,615
Lexington,8478,7432,56,9,0,2,0,1,0,0,295,16273
Leyden,73,108,2,0,0,0,0,0,0,0,1,184
Lincoln,1413,1272,12,0,0,0,0,0,22,0,30,2749
Littleton,1208,1602,9,2,0,0,3,2,0,0,43,2869
Longmeadow,3061,5368,21,4,8,1,0,0,3,0,79,8545
Lowell,23592,15259,204,0,0,0,0,0,0,0,822,39877
Ludlow,4431,2988,43,8,0,0,1,0,0,0,151,7622
Lunenburg,1585,2006,14,5,1,0,0,0,0,0,54,3665
Lynn,24124,14490,186,54,13,2,0,0,0,0,776,39646
Lynnfield,2191,3673,25,15,0,0,0,0,0,0,76,5980
Malden,14198,9246,125,13,0,1,0,0,0,0,526,24109
Manchester-by-the-Sea,1215,1620,5,3,0,0,1,0,0,0,33,2877
Mansfield,1979,2184,20,16,0,0,0,0,0,0,56,4255
Marblehead,5396,7139,46,0,0,0,0,0,0,0,192,12773
Marion,657,1155,5,20,1,1,0,0,0,0,19,1858
Marlborough,6886,5291,37,21,1,1,1,0,0,0,207,12445
Marshfield,3545,3535,25,13,0,0,0,0,15,0,104,7237
Mashpee,477,489,5,0,0,0,0,0,6,0,13,990
