City/Town,Carter/ Mondale,Ford/ Dole,McCarthy/ Stouffer,Camejo/ Reid,Anderson/ Shackelford,LaRouche/ Evans,MacBride/ Bergland,Wright/ Spock,Levin/ Blomen,Bubar/ Dodge,All Others,No Preference,Blanks,Total Votes Cast
Abington,3157,2645,190,4,24,14,0,0,0,0,7,0,75,6116
Acton,3380,4877,229,22,17,13,3,0,0,0,0,0,81,8622
Acushnet,3082,1178,96,5,17,3,0,0,0,2,3,0,58,4444
Adams,3874,1683,94,9,16,3,0,0,0,0,0,0,71,5750
Agawam,6090,4032,195,16,49,14,0,0,0,0,4,0,119,10519
Alford,86,121,11,2,4,0,0,0,0,0,1,0,1,226
Amesbury,3001,2189,112,15,23,10,0,0,0,0,4,0,74,5428
Amherst,6848,3254,677,242,31,20,5,1,0,0,13,0,51,11142
Andover,5464,7214,342,16,40,16,3,0,0,0,0,0,204,13299
Aquinnah,100,17,6,0,0,0,0,0,0,0,0,0,0,123
Arlington,15530,11353,708,76,68,50,0,0,0,0,64,0,363,28212
Ashburnham,1003,699,43,3,3,7,0,0,0,0,0,0,23,1781
Ashby,530,535,13,2,6,2,0,0,0,0,1,0,13,1102
Ashfield,293,415,41,6,2,1,2,0,0,0,2,0,11,773
Ashland,1984,1906,118,16,9,12,0,0,0,0,0,0,147,4192
Athol,2389,2246,86,9,13,4,0,0,0,0,3,0,78,4828
Attleboro,6073,5903,287,29,61,20,1,0,0,0,7,0,309,12690
Auburn,4482,3332,147,7,25,13,0,0,0,0,3,0,66,8075
Avon,1396,952,77,8,10,8,0,0,0,0,0,0,70,2521
Ayer,1296,815,44,1,5,10,0,0,0,0,6,0,31,2208
Barnstable,6196,7853,331,20,33,24,1,0,0,0,13,0,155,14626
Barre,1279,679,60,2,7,1,0,0,0,0,1,0,26,2055
Becket,263,199,13,3,5,1,0,0,0,0,0,0,6,490
Bedford,2682,3006,162,9,21,1,0,0,0,0,0,0,99,5980
Belchertown,1494,1045,106,11,5,15,0,0,0,0,7,0,36,2719
Bellingham,3756,2073,128,7,15,13,3,0,0,0,0,0,76,6071
Belmont,7854,7750,402,40,51,53,0,0,0,0,8,0,265,16423
Berkley,549,403,20,1,3,2,0,0,0,0,0,0,18,996
Berlin,472,572,32,1,1,4,0,1,0,0,2,0,15,1100
Bernardston,327,526,31,1,5,0,0,0,0,0,0,0,14,904
Beverly,9399,9027,514,34,28,39,1,2,0,2,7,0,261,19314
Billerica,7964,5199,332,30,19,35,0,0,0,0,14,0,229,13822
Blackstone,2028,785,78,3,5,6,1,0,0,0,0,0,56,2978
Blandford,176,317,18,2,2,0,0,0,0,0,0,0,10,525
Bolton,553,618,55,5,4,0,0,0,0,0,4,0,9,1240
Boston,115802,67604,5722,1196,839,443,0,0,0,0,42,0,4745,196393
Bourne,2281,2573,123,10,28,4,1,0,0,0,1,0,66,5087
Boxborough,511,652,26,4,3,4,0,0,0,0,0,0,11,1211
Boxford,714,1706,65,7,6,1,7,0,0,0,0,0,17,2523
Boylston,803,861,27,2,4,2,0,0,0,0,0,0,22,1701
Braintree,9695,8242,537,20,41,17,3,0,0,0,0,0,265,18820
Brewster,984,1531,80,5,5,0,0,0,0,0,0,0,31,2636
Bridgewater,3453,2516,200,10,16,3,0,0,2,0,27,0,83,6310
Brimfield,544,477,34,0,2,2,0,0,0,0,0,0,12,1071
Brockton,19421,12661,934,137,120,114,1,1,0,0,24,0,1394,34807
Brookfield,579,449,21,2,9,3,0,0,0,0,0,0,18,1031
Brookline,15874,11407,1000,170,63,37,0,0,0,0,28,0,593,29172
Buckland,357,592,30,1,0,2,0,0,0,0,0,0,22,1004
Burlington,5919,4259,269,17,42,5,0,0,0,0,0,0,90,10601
Cambridge,29052,10424,1771,779,63,118,0,0,0,0,101,0,922,43230
Canton,4872,4188,216,18,12,8,0,0,0,0,0,0,113,9427
Carlisle,672,973,50,2,0,0,3,1,0,0,0,0,18,1719
Carver,1062,827,42,0,5,2,0,0,0,0,7,0,34,1979
Charlemont,189,291,18,0,3,1,0,0,0,0,0,0,8,510
Charlton,1347,970,47,2,2,7,0,0,0,0,3,0,25,2402
Chatham,1292,2536,115,8,5,8,0,0,0,0,5,0,32,4001
Chelmsford,7408,7610,353,15,16,22,1,1,0,0,42,0,129,15597
Chelsea,7724,2824,275,45,36,25,0,0,0,0,8,0,317,11254
Cheshire,948,602,27,1,13,2,0,0,0,0,6,0,26,1625
Chester,293,220,15,1,2,1,0,0,0,0,1,0,10,543
Chesterfield,148,221,23,1,0,3,0,0,0,0,0,0,8,404
Chicopee,17874,7496,586,36,67,45,0,0,0,0,10,0,436,26550
Chilmark,174,176,15,0,0,2,0,0,0,0,3,0,3,373
