City/Town,Reagan/ Bush,Carter/ Mondale,Anderson/ Lucey,Clark Clark,DeBerry/ Zimmerman,Commoner/ Harris,McReynolds/ Drufenbrock,Bubar/ Dodge,Griswold/ Holmes,All Others,No Preference,Blanks,Total Votes Cast
Abington,2968,2142,840,53,5,1,0,0,0,16,0,62,6087
Acton,3867,2663,2047,58,6,15,0,0,0,7,0,137,8800
Acushnet,1912,1893,608,48,7,0,0,0,0,4,0,52,4524
Adams,1886,2737,624,54,2,6,0,0,0,0,0,106,5415
Agawam,4758,4215,1665,98,8,3,0,0,0,2,0,98,10847
Alford,110,63,45,1,0,0,0,0,0,0,0,2,221
Amesbury,2381,2076,961,68,10,6,0,0,0,4,0,67,5573
Amherst,2421,6001,2850,91,79,252,2,2,0,41,0,111,11850
Andover,7122,4028,2400,93,8,12,0,0,0,0,0,143,13806
Aquinnah,23,85,26,2,1,0,0,0,0,2,0,1,140
Arlington,10726,11737,4146,193,30,59,0,0,0,89,0,241,27221
Ashburnham,807,706,303,15,3,1,0,0,0,0,0,24,1859
Ashby,583,343,163,17,0,7,0,0,0,0,0,9,1122
Ashfield,328,238,156,10,2,6,0,0,0,1,0,5,746
Ashland,1754,1817,744,41,5,0,0,0,0,0,0,57,4418
Athol,2541,1445,431,44,2,0,0,0,0,0,0,42,4505
Attleboro,5899,4376,2042,133,11,3,0,0,0,9,0,287,12760
Auburn,3569,2910,1032,38,10,0,0,0,0,2,0,300,7861
Avon,1170,901,363,29,0,1,0,0,0,1,0,80,2545
Ayer,1006,902,285,19,4,0,0,0,0,0,0,27,2243
Barnstable,8335,4613,3298,90,23,15,0,0,0,29,0,241,16644
Barre,813,846,291,15,0,1,1,0,0,2,0,14,1983
Becket,275,170,75,8,1,0,0,0,0,0,0,2,531
Bedford,2753,1926,1211,61,7,0,0,0,0,0,0,59,6017
Belchertown,1222,1375,605,49,8,18,1,0,0,5,0,21,3304
Bellingham,2520,2427,839,61,10,0,0,0,0,0,0,265,6122
Belmont,6701,5767,2638,111,28,16,2,0,0,5,0,424,15692
Berkley,532,388,142,20,0,0,0,0,0,0,0,15,1097
Berlin,545,354,160,13,0,0,0,0,1,0,0,8,1081
Bernardston,470,267,129,8,1,0,0,0,0,1,0,7,883
Beverly,8012,6360,3770,157,21,5,0,0,0,9,0,325,18659
Billerica,6607,5458,2147,158,29,1,0,0,0,26,0,231,14657
Blackstone,1103,1260,349,33,4,0,0,0,0,3,0,119,2871
Blandford,316,109,72,5,1,1,0,0,0,0,0,6,510
Bolton,674,408,225,24,3,2,0,0,0,0,0,7,1343
Boston,58656,95133,22577,1565,416,66,0,0,0,80,0,3874,182367
Bourne,3004,1885,963,49,8,3,0,0,0,7,0,46,5965
Boxborough,637,394,293,9,0,0,0,0,0,2,0,10,1345
Boxford,1733,570,488,27,1,0,0,0,0,3,0,13,2835
Boylston,869,605,327,10,1,0,0,0,0,0,0,13,1825
Braintree,9121,6878,2458,129,4,5,0,0,0,0,0,188,18783
Brewster,1476,790,732,28,4,3,0,0,0,2,0,88,3123
Bridgewater,2987,2345,1033,70,9,0,0,0,0,17,0,266,6727
Brimfield,552,389,144,14,2,3,0,0,0,1,0,12,1117
Brockton,15350,12751,4663,365,60,0,0,0,0,28,0,1117,34334
Brookfield,530,373,141,14,0,3,0,0,0,3,0,4,1068
Brookline,8441,14038,4958,210,72,33,0,1,0,16,0,413,28182
Buckland,445,293,135,7,2,7,0,0,0,2,0,15,906
Burlington,5265,4091,1810,93,5,5,0,0,1,8,0,75,11353
Cambridge,7952,24337,6694,439,209,308,26,0,0,41,0,565,40571
Canton,4549,3506,1362,74,6,0,0,0,0,0,0,99,9596
Carlisle,889,538,485,20,0,2,0,0,0,2,0,9,1945
Carver,1420,927,461,32,5,0,0,0,0,8,0,25,2878
Charlemont,264,160,85,14,0,6,0,0,0,0,0,4,533
Charlton,1280,943,406,29,0,0,0,0,0,12,0,15,2685
Chatham,2301,947,781,19,4,6,0,0,0,0,0,22,4080
Chelmsford,8198,5085,2365,106,9,0,0,0,0,52,0,106,15921
Chelsea,3183,5292,982,78,35,2,1,1,2,2,0,237,9815
Cheshire,681,705,216,13,0,0,0,0,0,3,0,20,1638
Chester,243,155,71,11,1,3,0,0,0,0,0,5,489
Chesterfield,213,117,58,7,0,2,0,0,0,1,0,3,401
Chicopee,8575,12745,2843,209,30,7,0,1,1,55,0,278,24744
Chilmark,112,178,109,7,2,4,0,0,0,1,0,2,415
Clarksburg,376,351,90,12,24,3,0,0,0,0,0,6,862
Clinton,2244,2865,569,50,8,0,0,0,0,6,0,73,5815
Cohasset,2190,1286,676,37,2,3,0,0,0,1,0,62,4257
Colrain,364,207,165,2,1,6,1,0,0,1,0,10,757
Concord,3621,3126,2004,66,7,18,0,0,0,5,0,58,8906
Conway,251,282,132,5,2,6,0,0,0,2,0,3,683
Cummington,207,114,66,4,0,2,0,0,0,0,0,6,399
Dalton,1496,1306,588,37,12,5,0,0,0,1,0,33,3478
Danvers,5831,3742,2205,107,18,0,0,0,0,5,0,167,12075
Dartmouth,4934,4044,1520,85,19,2,0,0,0,2,0,118,10724
Dedham,6367,5071,2013,123,24,4,0,0,0,20,0,299,13921
Deerfield,824,1035,422,29,7,0,0,0,0,0,0,27,2344
Dennis,3926,1928,1440,58,13,2,0,0,0,4,0,239,7610
Dighton,1155,889,336,27,0,0,0,0,0,3,0,24,2434
Douglas,887,628,230,15,2,0,0,0,0,0,0,26,1788
Dover,1809,523,491,21,0,0,0,0,0,4,0,10,2858
Dracut,4621,4211,1153,84,9,2,0,0,2,14,0,112,10208
Dudley,1509,1536,508,33,9,0,0,0,0,0,0,147,3742
Dunstable,461,193,112,7,0,1,0,0,0,2,0,11,787
Duxbury,3496,1596,1013,55,2,6,0,0,0,3,0,72,6243
E. Bridgewater,2199,1312,625,53,4,3,0,0,0,5,0,41,4242
E. Brookfield,387,354,94,5,0,0,0,0,0,3,0,9,852
E. Longmeadow,3350,2244,1045,34,2,0,0,0,0,0,0,50,6725
Eastham,1089,612,475,12,0,0,0,0,0,0,0,25,2213
Easthampton,2802,3214,919,104,39,8,1,0,0,2,0,91,7180
Easton,4008,2148,1226,70,7,0,0,0,0,0,0,70,7529
Edgartown,545,542,310,15,1,0,0,0,0,1,0,14,1428
Egremont,327,216,103,12,1,2,0,0,0,6,0,0,667
Erving,275,271,88,8,3,1,0,0,0,1,0,4,651
Essex,840,413,300,15,2,3,0,0,0,2,0,11,1586
Everett,6341,8208,1848,134,65,0,0,0,0,11,0,401,17008
Fairhaven,3315,3056,993,71,12,2,0,0,0,5,0,98,7552
Fall River,9958,19644,3694,248,42,0,0,0,0,17,0,599,34202
Falmouth,5582,4412,2326,102,8,21,0,0,0,29,0,85,12565
Fitchburg,6032,7029,1859,134,20,7,0,0,0,4,0,369,15454
Florida,189,114,40,4,1,1,0,0,0,4,0,5,358
Foxborough,3052,2265,1105,49,2,4,0,0,0,21,0,38,6536
Framingham,11979,12275,4940,171,27,18,0,0,2,0,0,318,29730
Franklin,3254,3157,1186,63,6,0,0,0,0,0,0,169,7835
Freetown,1508,968,480,38,0,2,0,0,0,10,0,22,3028
Gardner,3006,3705,1057,71,17,0,0,0,0,22,0,84,7962
Georgetown,1518,900,478,28,2,1,0,0,0,3,0,15,2945
Gill,237,260,120,8,0,1,0,0,0,0,0,4,630
Gloucester,5530,4928,2085,136,18,0,0,0,0,0,0,166,12857
Goshen,147,107,38,6,0,2,0,0,0,0,0,2,302
Gosnold,35,18,23,0,0,0,0,0,0,0,0,0,76
Grafton,2358,2260,750,30,1,9,0,0,0,12,0,37,5457
Granby,1088,982,372,24,0,2,0,0,0,0,0,9,2477
Granville,396,121,97,7,1,0,0,0,0,0,0,3,625
Great Barrington,1207,1309,550,33,4,3,0,0,0,1,0,30,3137
Greenfield,3293,3370,1438,85,14,13,0,0,0,10,0,81,8304
Groton,1421,930,541,33,1,0,0,0,0,5,0,22,2953
Groveland,1191,776,415,16,3,1,1,0,0,2,0,24,2429
Hadley,868,1100,305,15,26,14,1,4,0,0,0,15,2348
Halifax,1460,824,336,31,0,2,0,0,0,7,0,21,2681
Hamilton,1911,897,776,31,3,1,0,0,0,6,0,26,3651
Hampden,1106,652,362,40,1,0,0,0,0,0,0,16,2177
Hancock,175,97,41,6,0,0,0,0,0,1,0,4,324
Hanover,2962,1579,803,57,2,0,0,0,0,0,0,56,5459
Hanson,1840,1143,480,45,4,1,0,0,0,11,0,105,3629
Hardwick,414,454,165,12,1,2,0,0,0,4,0,9,1061
Harvard,1116,648,525,21,3,8,0,0,0,10,0,6,2337
Harwich,3029,1450,1140,46,2,2,0,0,0,10,0,36,5715
Hatfield,620,905,200,14,1,6,0,0,0,1,0,15,1762
Haverhill,7949,9253,2591,196,33,4,0,0,0,47,0,247,20320
Hawley,51,45,17,0,0,0,0,0,0,0,0,1,114
Heath,104,73,52,1,1,1,0,0,0,1,0,2,235
Hingham,5503,3274,1659,73,14,4,0,0,0,8,0,394,10929
Hinsdale,377,352,110,18,0,0,0,0,0,0,0,10,867
Holbrook,2330,1924,681,48,6,0,0,0,0,8,0,324,5321
Holden,4093,2015,1229,48,5,1,0,0,0,1,0,24,7416
Holland,324,248,139,9,2,0,0,0,0,2,0,10,734
Holliston,2934,2064,1131,39,4,2,0,0,0,5,0,120,6299
Holyoke,6268,8701,2129,150,27,4,0,0,1,11,0,321,17612
Hopedale,985,794,335,25,2,0,0,0,0,0,0,19,2160
Hopkinton,1589,1290,606,45,1,1,0,0,0,6,0,20,3558
Hubbardston,405,294,150,12,0,0,0,0,0,0,0,8,869
Hudson,2890,2932,969,55,6,0,0,0,0,20,0,79,6951
Hull,1924,1847,644,65,10,3,0,0,0,0,0,158,4651
Huntington,350,271,124,13,3,6,0,0,0,1,0,6,774
Ipswich,2703,1960,1188,74,8,7,0,0,0,9,0,78,6027
Kingston,1688,1181,549,29,7,0,0,0,0,0,0,54,3508
Lakeville,1463,738,401,48,1,5,1,0,0,14,0,8,2679
Lancaster,1278,762,361,23,1,1,1,1,0,0,0,22,2450
Lanesborough,632,621,222,16,0,1,0,2,0,5,0,10,1509
Lawrence,8020,12145,2341,201,33,0,0,0,0,0,0,414,23154
Lee,1182,1116,461,29,4,0,0,0,0,0,0,52,2844
Leicester,1767,1847,626,27,1,1,0,0,0,6,0,23,4298
Lenox,1545,1020,492,31,1,2,0,0,0,0,0,44,3135
Leominster,6320,5805,1683,80,16,1,0,0,0,4,0,381,14290
Leverett,190,407,125,11,2,24,0,0,0,0,0,13,772
Lexington,6999,6557,3629,116,34,26,5,0,0,11,0,184,17561
Leyden,110,89,56,6,1,2,0,0,0,1,0,2,267
Lincoln,1127,985,839,19,5,8,0,0,0,4,0,48,3035
Littleton,1573,1130,630,52,2,0,0,0,0,0,0,30,3417
Longmeadow,4638,2388,1527,65,12,10,0,0,0,1,0,256,8897
Lowell,12668,16353,3791,232,66,9,0,0,0,12,0,956,34087
Ludlow,3087,3915,983,79,6,0,0,0,0,20,0,88,8178
Lunenburg,2249,1321,537,31,3,10,0,0,0,4,0,24,4179
Lynn,11966,15777,3911,294,71,16,0,0,0,31,0,1253,33319
Lynnfield,3815,1614,1047,46,2,2,0,0,0,7,0,34,6567
Malden,8521,11659,3366,181,81,4,0,1,0,8,0,40,24223
Manchester-by-the-Sea,1534,856,706,29,1,0,0,0,0,6,0,24,3156
Mansfield,2681,1907,885,54,6,0,0,0,0,0,0,74,5607
Marblehead,6038,3415,2755,99,4,2,0,0,0,0,0,112,12425
Marion,1111,557,394,13,3,0,0,0,0,0,0,28,2106
Marlborough,5345,5908,1999,129,8,0,0,0,0,0,0,177,13566
Marshfield,4744,3330,1692,118,5,2,0,0,0,16,0,56,9963
Mashpee,921,676,367,10,5,2,0,0,0,2,0,19,2002
Mattapoisett,1621,791,512,34,5,3,0,0,0,0,0,37,3003
Maynard,1849,2079,725,50,7,2,0,0,0,4,0,68,4784
Medfield,2782,1501,1007,37,2,8,0,0,0,0,0,45,5382
Medford,10633,13303,3496,189,25,6,2,6,0,74,0,429,28163
Medway,1783,1394,692,29,8,1,0,0,0,11,0,144,4062
Melrose,7195,5340,2571,121,5,6,2,0,0,3,0,168,15411
Mendon,827,476,208,21,1,0,0,0,0,0,0,10,1543
Merrimac,974,659,324,25,0,0,0,0,0,0,0,31,2013
Methuen,7950,7358,1972,114,17,3,0,0,1,10,0,201,17626
Middleborough,3296,2134,966,219,4,2,0,0,0,7,0,79,6707
Middlefield,90,60,27,1,0,0,0,0,0,0,0,1,179
Middleton,1025,637,376,19,1,0,0,0,0,5,0,32,2095
Milford,4152,5392,1323,90,34,2,0,0,0,8,0,155,11156
Millbury,2200,2742,649,42,1,0,0,0,0,3,0,79,5716
Millis,1572,1137,596,36,3,2,0,1,0,3,0,32,3382
Millville,275,410,106,7,0,0,0,0,0,0,0,10,808
Milton,7244,5881,2189,100,5,8,0,1,0,32,0,157,15617
Monroe,53,32,11,1,0,0,0,0,0,0,0,2,99
Monson,1362,1253,528,36,1,0,0,0,0,3,0,30,3213
Montague,1388,1861,576,57,2,21,0,0,0,8,0,45,3958
Monterey,142,187,69,5,0,5,0,0,0,0,0,9,417
Montgomery,179,100,61,5,0,0,0,0,0,5,0,1,351
Mount Washington,33,7,15,0,0,0,0,0,0,0,0,0,55
Nahant,965,855,414,17,3,0,0,0,0,0,0,30,2284
Nantucket,1149,1040,614,22,2,5,0,0,0,6,0,22,2860
Natick,6097,6067,2793,116,20,4,0,0,0,11,0,139,15247
Needham,8331,4894,3084,107,19,13,0,0,0,10,0,223,16681
New Ashford,41,38,17,0,0,0,0,0,0,0,0,1,97
New Bedford,13217,18014,3843,296,56,0,0,0,0,119,0,562,36107
New Braintree,134,107,62,5,0,0,0,0,0,4,0,3,315
New Marlborough,261,179,97,12,0,1,0,0,0,0,0,7,557
