City/Town,Reagan/ Bush,Mondale/ Ferraro,Serrette/ Ross,Johnson/ Walton,Harmon/ Pollard,Dodge/ Martin,All Others,No Preference,Blanks,Total Votes Cast
Abington,3748,2497,27,0,0,0,0,0,63,6335
Acton,5065,3823,22,0,0,0,4,0,229,9143
Acushnet,2075,2338,26,0,0,0,3,0,45,4487
Adams,2392,2420,25,0,0,0,1,0,33,4871
Agawam,6347,4534,35,0,0,0,1,0,28,10945
Alford,137,82,0,0,0,0,1,0,0,220
Amesbury,3357,2395,26,0,0,0,6,0,41,5825
Amherst,3975,9844,37,0,0,0,5,0,72,13933
Andover,8814,5479,58,0,0,0,0,0,137,14488
Aquinnah,15,127,0,0,0,0,1,0,1,144
Arlington,11254,14935,59,0,0,0,28,0,155,26431
Ashburnham,1149,767,5,0,0,0,0,0,9,1930
Ashby,755,352,2,0,0,0,3,0,4,1116
Ashfield,414,406,3,1,0,0,0,0,11,835
Ashland,2875,2162,20,0,0,0,0,0,63,5120
Athol,2637,1469,13,0,0,0,0,0,55,4174
Attleboro,8041,4524,64,0,0,0,2,0,251,12882
Auburn,4439,2780,16,0,0,0,2,0,205,7442
Avon,1366,1052,6,0,0,0,0,0,48,2472
Ayer,1378,900,6,0,0,0,1,0,18,2303
Barnstable,10333,7856,64,0,0,0,8,0,270,18531
Barre,1094,901,10,0,0,0,0,0,8,2013
Becket,300,197,3,0,0,0,0,0,0,500
Bedford,3562,2704,14,0,0,0,0,0,46,6326
Belchertown,1751,1756,8,0,0,0,2,0,92,3609
Bellingham,3431,2295,25,0,0,0,1,0,117,5869
Belmont,7181,7687,40,1,0,0,0,0,398,15307
Berkley,747,423,7,0,0,0,1,0,6,1184
Berlin,768,350,3,0,0,0,0,0,9,1130
Bernardston,600,326,6,0,0,0,0,0,5,937
Beverly,10256,7791,48,0,0,0,0,0,256,18351
Billerica,8669,5692,52,0,0,0,6,0,139,14558
Blackstone,1515,1129,16,0,0,0,0,0,51,2711
Blandford,382,151,1,0,0,0,0,0,2,536
Bolton,989,530,4,0,0,0,0,0,9,1532
Boston,75311,131745,691,0,0,0,52,0,3350,211149
Bourne,3843,2560,26,0,0,0,0,0,118,6547
Boxborough,907,517,7,0,0,0,1,0,10,1442
Boxford,2283,769,3,0,0,0,0,0,9,3064
Boylston,1153,638,3,0,0,0,0,0,8,1802
Braintree,10398,7734,0,0,2,0,2,0,170,18306
Brewster,2009,1570,16,0,0,0,0,0,83,3678
Bridgewater,4035,2767,28,0,0,0,0,0,260,7090
Brimfield,648,397,5,0,0,0,0,0,7,1057
Brockton,17161,14130,102,0,1,0,0,0,752,32146
Brookfield,763,371,3,0,0,0,0,0,6,1143
Brookline,8524,19224,43,0,0,0,2,0,254,28047
Buckland,579,368,6,0,0,0,0,0,10,963
Burlington,6864,4583,28,0,0,0,2,0,56,11533
Cambridge,10007,32582,107,0,0,0,75,0,585,43356
Canton,5680,4092,19,0,0,0,0,0,56,9847
Carlisle,1318,915,5,0,0,0,0,0,15,2253
Carver,2325,1404,15,0,0,0,4,0,10,3758
Charlemont,334,206,1,0,0,0,1,0,5,547
Charlton,1843,958,5,0,0,0,4,0,12,2822
Chatham,2705,1464,7,1,0,0,9,0,32,4218
Chelmsford,10279,5256,35,1,0,0,7,0,153,15731
Chelsea,3809,5825,34,0,0,0,1,0,165,9834
Cheshire,915,623,9,0,0,0,0,0,12,1559
Chester,299,177,1,0,0,0,0,0,5,482
Chesterfield,261,172,1,0,0,0,0,0,2,436
Chicopee,10789,12540,92,0,3,2,18,0,247,23691
Chilmark,172,314,4,0,0,0,0,0,12,502
Clarksburg,484,330,0,0,0,0,1,0,7,822
Clinton,3317,2670,16,0,0,0,0,0,44,6047
Cohasset,2585,1623,14,0,0,0,2,0,75,4299
Colrain,462,263,2,0,0,0,0,0,10,737
Concord,4669,4492,26,0,0,0,1,0,56,9244
Conway,310,420,4,0,0,0,0,0,6,740
Cummington,229,149,2,0,0,0,1,0,0,381
Dalton,1932,1247,16,0,0,0,0,0,23,3218
Danvers,7486,4460,49,0,0,0,0,0,206,12201
Dartmouth,5695,5355,39,0,0,0,0,0,73,11162
Dedham,7040,5782,36,0,0,0,9,0,231,13098
Deerfield,1081,1267,10,0,0,0,0,0,16,2374
Dennis,4502,3143,20,0,0,0,4,0,238,7907
Dighton,1472,948,13,0,0,0,0,0,51,2484
Douglas,1174,784,10,0,0,0,0,0,10,1978
Dover,2125,827,7,0,0,0,4,0,13,2976
Dracut,6834,3840,44,0,0,0,0,0,105,10823
Dudley,1912,1530,11,0,0,0,1,0,94,3548
Dunstable,603,294,3,0,0,0,0,0,0,900
Duxbury,4556,2186,12,0,0,0,0,0,82,6836
E. Bridgewater,2867,1303,14,0,0,0,1,0,12,4197
E. Brookfield,545,328,1,0,0,0,1,0,2,877
E. Longmeadow,4157,2330,19,0,0,0,0,0,20,6526
Eastham,1442,994,6,0,0,0,0,0,22,2464
Easthampton,3715,3312,26,0,0,0,5,0,47,7105
Easton,5188,2730,12,0,0,0,0,0,47,7977
Edgartown,875,672,2,0,0,0,2,0,12,1563
Egremont,394,271,6,0,0,0,3,0,3,677
Erving,367,296,2,0,0,0,0,0,4,669
Essex,1046,569,6,0,0,0,0,0,9,1630
Everett,7149,9209,51,0,0,0,1,0,490,16900
Fairhaven,3441,3712,46,0,0,0,0,0,44,7243
Fall River,11463,20722,109,0,0,0,0,0,394,32688
Falmouth,7100,6403,37,0,0,0,10,0,78,13628
Fitchburg,7649,6832,54,0,0,0,0,0,377,14912
Florida,207,109,2,0,0,0,0,0,0,318
Foxborough,4197,2413,12,0,0,0,8,0,34,6664
Framingham,15074,14368,61,0,0,0,0,0,215,29718
Franklin,4612,3232,20,0,0,0,0,0,136,8000
Freetown,1836,1193,11,0,0,0,0,0,25,3065
Gardner,3805,3733,17,0,0,1,7,0,64,7627
Georgetown,1933,1060,6,0,1,0,5,0,14,3019
Gill,304,358,3,0,0,0,1,0,8,674
Gloucester,6978,5768,39,0,0,0,0,0,341,13126
Goshen,197,150,2,0,0,0,1,0,3,353
Gosnold,56,23,0,0,0,0,0,0,0,79
Grafton,3440,2330,11,0,0,0,3,0,33,5817
Granby,1432,939,6,0,0,0,0,0,17,2394
Granville,474,132,0,0,0,0,1,0,4,611
Great Barrington,1694,1393,13,0,0,0,0,0,35,3135
Greenfield,4247,4231,41,0,0,0,1,0,52,8572
Groton,2026,1211,6,0,0,0,6,0,9,3258
Groveland,1564,899,8,0,0,0,2,0,9,2482
Hadley,1146,1223,11,0,0,0,0,0,15,2395
Halifax,1778,913,11,0,0,0,4,0,19,2725
Hamilton,2586,1185,11,0,0,0,0,0,8,3790
Hampden,1471,776,1,0,0,0,0,0,17,2265
Hancock,1872,108,0,0,0,0,0,0,3,300
Hanover,3663,1979,12,0,0,0,0,0,31,5685
Hanson,2331,1151,10,0,0,0,2,0,145,3639
Hardwick,627,531,2,0,0,0,0,0,7,1167
Harvard,1638,1019,8,0,0,0,5,0,6,2676
Harwich,3491,2375,21,0,0,0,11,0,45,5943
Hatfield,860,884,6,0,0,0,0,0,8,1758
Haverhill,10365,9182,78,0,0,0,13,0,137,19775
Hawley,79,54,0,0,0,0,0,0,3,136
Heath,118,144,0,0,0,0,1,0,3,266
Hingham,6750,4062,26,0,0,0,3,0,218,11059
Hinsdale,423,303,6,0,0,0,0,0,8,740
Holbrook,3018,2129,19,0,0,0,6,0,127,5299
Holden,5137,2360,14,0,0,0,1,0,30,7542
Holland,479,237,2,0,0,0,1,0,4,723
Holliston,4039,2486,14,0,0,0,3,0,89,6631
Holyoke,7735,8803,54,1,0,0,0,0,384,16977
Hopedale,1380,866,8,0,0,0,0,0,19,2273
Hopkinton,2331,1393,13,0,0,0,7,0,14,3758
