City/Town,Dukakis/ Bentsen,Bush/ Quayle,Paul/ Marrou,Fulani/ Dattner,Dodge/ Ormsby,Kenoyer/ Ehrenreich,All Others,No Preference,Blanks,Total Votes Cast
Abington,2817,3602,88,29,0,0,0,0,172,6708
Acton,4834,4599,121,24,0,0,9,0,142,9729
Acushnet,2688,1758,16,15,0,0,12,0,83,4572
Adams,2980,1539,9,7,0,0,22,0,102,4659
Agawam,6022,5526,44,32,0,0,1,0,122,11747
Alford,102,118,0,0,0,0,0,0,3,223
Amesbury,3352,2666,89,20,0,0,2,0,74,6203
Amherst,9097,2925,90,95,0,0,22,0,94,12323
Andover,6416,8730,205,31,0,0,5,0,170,15557
Aquinnah,119,18,0,0,0,0,0,0,0,137
Arlington,15712,9903,312,109,0,0,46,0,779,26861
Ashburnham,1058,1152,18,7,0,0,5,0,53,2293
Ashby,512,749,6,3,0,0,2,0,23,1295
Ashfield,521,366,12,2,0,0,3,0,20,924
Ashland,2968,2859,69,17,0,0,4,0,155,6072
Athol,1758,2461,21,9,0,0,0,0,108,4357
Attleboro,6199,7739,96,50,0,0,3,0,367,14454
Auburn,3515,4006,54,18,0,0,3,0,458,8054
Avon,1210,1332,29,6,0,0,15,0,45,2637
Ayer,1009,1186,12,6,0,0,4,0,34,2251
Barnstable,9971,10026,194,47,0,0,9,0,420,20667
Barre,1078,1164,17,7,0,0,10,0,50,2326
Becket,300,258,8,2,0,0,0,0,7,575
Bedford,3053,3248,95,6,0,0,1,0,81,6484
Belchertown,2354,1800,20,26,0,0,0,0,113,4313
Bellingham,3253,3229,57,20,0,0,2,0,164,6725
Belmont,8117,6487,160,47,0,0,0,0,391,15202
Berkley,662,895,18,6,1,1,0,0,43,1626
Berlin,474,700,14,3,0,0,3,0,28,1222
Bernardston,456,535,2,0,0,0,0,0,17,1010
Beverly,9397,8903,228,114,0,0,20,0,397,19059
Billerica,7061,8152,249,48,0,0,14,0,414,15938
Blackstone,1753,1441,12,12,0,0,2,0,91,3311
Blandford,210,331,2,0,0,0,1,0,5,549
Bolton,721,973,32,8,0,0,0,0,21,1755
Boston,122349,62202,1526,1485,2,2,60,0,4795,192417
