City/Town,Clinton/ Gore,Bush/ Quayle,Perot/ Stockdale,Marrou/ Lord,Fulani/ Munoz,Phillips & Knight Phillips,Hagelin Tompkins,LaRouche/ Bevel,Brisben/ Garson,Dodge/ Ormsby,All Others,No Preference,Blanks,Total Votes Cast
Abington,2570,2452,1870,16,6,5,2,2,0,0,1,0,250,7174
Acton,4980,3136,2142,32,5,6,8,0,0,0,29,0,55,10393
Acushnet,2568,826,1448,3,5,4,4,0,0,0,5,0,46,4909
Adams,2618,848,1238,13,1,2,1,2,0,0,3,0,51,4777
Agawam,5479,4239,3742,15,9,0,5,7,1,0,1,0,50,13548
Alford,120,65,73,0,0,0,0,0,0,0,0,0,3,261
Amesbury,2857,1978,2103,12,4,4,5,1,0,0,2,0,47,7013
Amherst,8563,1646,1436,50,50,4,7,2,4,0,13,0,55,11830
Andover,6649,6487,3590,71,3,8,15,6,0,0,7,0,91,16927
Aquinnah,122,18,18,0,0,0,0,0,0,0,0,0,0,158
Arlington,14453,6646,4384,105,29,19,15,10,0,0,24,0,1039,26724
Ashburnham,1045,811,693,4,4,4,8,1,0,0,8,0,25,2603
Ashby,489,516,398,3,4,0,0,0,0,0,3,0,20,1433
Ashfield,525,216,230,4,4,1,2,0,0,0,2,0,6,990
Ashland,2962,1931,1566,22,5,3,4,1,0,0,1,0,160,6655
Athol,1811,1437,1453,3,5,6,0,0,0,0,36,0,36,4787
Attleboro,5831,4779,4413,37,17,18,11,2,0,0,6,0,378,15492
Auburn,3488,2879,1814,17,4,3,7,3,0,0,0,0,242,8457
Avon,1005,829,819,6,1,2,1,1,0,0,7,0,18,2689
Ayer,1063,730,654,13,2,6,4,0,0,0,0,0,15,2487
Barnstable,8972,6558,5920,60,18,14,18,11,0,0,13,0,1163,22747
Barre,1057,740,603,7,5,6,5,1,0,0,0,0,10,2434
Becket,341,164,222,2,0,1,0,0,0,0,0,0,3,733
Bedford,3027,2230,1441,34,0,4,7,1,0,0,3,0,30,6777
Belchertown,2372,1287,1622,8,12,4,0,1,0,0,0,0,173,5479
Bellingham,2922,2062,2127,10,7,3,6,1,0,0,2,0,120,7260
Belmont,7588,4684,2294,49,18,3,9,4,0,0,7,0,446,15102
Berkley,746,530,820,7,1,3,0,0,0,0,0,0,9,2116
Berlin,463,476,345,7,1,1,0,0,0,0,0,0,6,1299
Bernardston,385,344,333,4,0,1,1,0,0,0,0,0,3,1071
Beverly,8507,6174,4979,55,21,27,12,5,0,0,11,0,632,20423
Billerica,6501,4958,5429,50,11,19,56,9,0,0,9,0,616,17658
Blackstone,1411,1027,1169,6,6,5,3,1,0,0,2,0,103,3733
Blandford,200,223,194,2,0,1,0,0,0,0,0,0,1,621
Bolton,745,670,513,6,0,0,1,0,0,0,0,0,5,1940
Boston,114260,41868,25189,691,533,271,144,141,0,0,34,0,3769,186900
Bourne,2984,2595,2137,17,11,7,4,1,0,0,4,0,125,7885
Boxborough,810,576,537,15,4,1,0,0,0,0,1,0,13,1957
Boxford,1153,1738,984,22,1,1,1,0,0,0,12,0,18,3930
Boylston,831,850,503,1,0,1,0,6,0,0,0,0,10,2202
Braintree,7702,6598,4350,25,4,11,6,5,0,0,29,0,186,18916
Brewster,2285,1587,1510,31,3,2,7,1,0,0,12,0,42,5480
Bridgewater,2950,2757,2427,27,8,10,7,2,0,0,33,0,610,8831
Brimfield,538,483,538,6,2,4,1,1,0,0,0,0,4,1577
Brockton,13209,8863,7579,57,26,26,19,11,0,0,9,0,1848,31647
Brookfield,525,507,383,5,2,0,0,1,0,0,2,0,5,1430
Brookline,19848,4892,2629,94,42,10,15,7,0,0,10,0,180,27727
Buckland,438,310,286,6,1,1,0,0,0,0,1,0,3,1046
Burlington,5145,4192,3278,43,5,9,7,4,0,0,14,0,94,12791
Cambridge,30737,5847,4106,205,118,22,52,12,4,0,55,0,1079,42237
Canton,4464,3808,2516,29,3,8,3,3,0,0,0,0,301,11135
Carlisle,1241,827,667,12,0,0,0,2,0,0,5,0,8,2762
Carver,1875,1629,1643,16,3,1,1,4,0,0,4,0,10,5186
Charlemont,251,182,189,0,1,0,0,0,0,0,0,0,6,629
Charlton,1460,1525,1347,8,1,1,4,1,0,0,1,0,33,4381
Chatham,1665,1770,1059,18,3,2,4,2,0,0,0,0,35,4558
Chelmsford,6832,6151,5175,73,8,6,3,1,0,0,53,0,116,18418
Chelsea,4408,1957,1441,16,6,2,7,3,0,0,7,0,237,8084
Cheshire,846,365,603,4,1,0,1,1,0,0,2,0,12,1835
Chester,233,198,188,1,0,0,0,0,0,0,0,0,5,625
Chesterfield,200,159,205,1,0,0,0,0,0,0,0,0,3,568
Chicopee,11433,6138,6452,34,18,18,6,10,0,0,20,0,153,24282
Chilmark,316,89,81,0,0,0,2,0,0,0,0,0,2,490
Clarksburg,458,184,285,0,0,1,1,0,0,0,0,0,6,935
Clinton,2905,1934,1398,9,4,4,7,2,0,0,0,0,38,6301
Cohasset,1576,1757,911,15,2,2,2,3,0,0,0,0,309,4577
Colrain,374,240,263,2,0,0,1,0,0,0,0,0,1,881
Concord,5153,3145,1595,34,8,8,12,2,0,0,10,0,34,10001
Conway,545,175,267,3,0,0,0,0,0,0,0,0,7,997
Cummington,225,107,118,2,0,1,1,0,0,0,0,0,2,456
Dalton,1807,867,942,3,1,2,0,0,0,0,2,0,51,3675
Danvers,4947,4640,3440,37,6,7,6,1,0,0,4,0,270,13358
Dartmouth,6571,2846,3437,34,8,11,18,8,0,0,1,0,63,12997
Dedham,5675,4409,2907,39,4,11,7,0,0,0,4,0,413,13469
Deerfield,1474,645,867,2,0,1,5,0,0,0,1,0,9,3004
Dennis,3476,2815,2087,18,16,12,7,7,0,0,0,0,294,8732
Dighton,1109,887,829,2,1,1,1,0,0,0,1,0,34,2865
Douglas,973,929,790,2,3,1,2,0,0,0,0,0,11,2711
