City/Town,Clinton/ Gore,Dole/ Kemp,Perot/ Choate,Browne/ Jorgensen,Hagelin/ Tompkins,Nader/ LaDuke,Moorehead/ LaRiva,Hollis/ Chester,Dodge/ Kelly,All Others,No Preference,Blanks,Total Votes Cast
Abington,3657,2069,727,45,13,1,11,0,0,2,0,191,6716
Acton,5819,3205,646,104,30,44,5,0,0,15,0,189,10057
Acushnet,3060,742,546,21,3,6,2,0,0,4,0,62,4446
Adams,2866,698,634,19,3,5,5,0,0,0,0,44,4274
Agawam,7177,3853,1361,55,10,9,9,0,0,2,0,87,12563
Alford,130,80,24,0,0,7,0,0,0,0,0,2,243
Amesbury,3774,1774,770,59,11,0,3,0,0,33,0,73,6497
Amherst,7777,1527,530,91,55,285,71,30,0,15,0,117,10498
Andover,7906,6604,1084,134,33,42,12,0,0,30,0,93,15938
Aquinnah,156,14,11,2,1,3,0,0,0,0,0,2,189
Arlington,15312,5687,1385,312,82,0,57,0,0,169,0,789,23793
Ashburnham,1331,710,329,15,3,0,1,0,0,12,0,27,2428
Ashby,637,441,181,16,6,5,0,0,0,4,0,3,1293
Ashfield,581,224,90,11,4,0,5,0,0,46,0,11,972
Ashland,3862,1731,541,50,16,0,4,0,0,0,0,310,6514
Athol,2389,1206,735,48,5,1,2,0,0,22,0,38,4446
Attleboro,7956,4258,1863,81,20,21,11,0,0,18,0,103,14331
Auburn,4451,2397,739,37,20,0,5,0,0,16,0,73,7738
Avon,1389,646,293,12,3,0,1,0,0,3,0,28,2375
Ayer,1347,694,246,33,11,0,9,0,0,0,0,35,2375
Barnstable,11543,8317,2108,153,40,0,9,0,0,65,0,232,22467
Barre,1298,629,260,13,5,6,4,0,0,3,0,25,2243
Becket,383,167,130,3,5,4,1,0,0,3,0,5,701
Bedford,3639,2174,469,75,18,0,9,0,0,9,0,63,6456
Belchertown,3112,1487,602,33,12,49,9,0,0,16,0,36,5356
Bellingham,3810,1650,822,41,10,0,7,0,0,2,0,265,6607
Belmont,7998,4180,701,146,55,40,21,0,0,16,0,527,13684
Berkley,1223,656,378,23,5,5,3,1,0,3,0,24,2321
Berlin,642,429,154,14,5,0,0,0,0,7,0,9,1260
Bernardston,545,315,125,9,6,5,1,0,0,2,0,11,1019
Beverly,10296,5286,1624,174,34,0,14,0,0,0,0,495,17923
Billerica,9354,4505,1919,151,21,32,15,0,0,20,0,113,16130
Blackstone,1876,850,522,23,5,0,2,0,0,4,0,44,3326
Blandford,264,217,77,4,3,0,0,0,0,5,0,6,576
Bolton,987,746,194,37,8,10,0,0,0,6,0,18,2006
Boston,125529,33366,8428,1551,433,0,539,0,0,216,0,4897,174959
Bourne,4186,2848,857,53,11,0,9,0,0,7,0,61,8032
Boxborough,1247,712,184,31,20,0,2,0,0,3,0,20,2219
Boxford,1619,2061,329,47,5,0,2,0,0,12,0,42,4117
Boylston,1063,829,205,12,6,0,4,0,0,5,0,18,2142
Braintree,9723,5402,1480,117,13,0,13,0,0,58,0,192,16998
Brewster,2873,1930,535,46,13,20,7,0,0,12,0,62,5498
Bridgewater,4585,2867,913,65,9,0,5,0,0,42,0,77,8563
Brimfield,732,507,202,8,2,0,0,0,0,0,0,26,1477
Brockton,16361,6972,2738,247,31,0,25,0,0,10,0,1086,27470
Brookfield,689,407,196,5,3,4,4,0,0,0,0,14,1322
Brookline,18812,4579,799,224,77,90,99,0,0,18,0,270,24968
Buckland,521,294,77,10,4,24,6,0,0,1,0,7,944
Burlington,6612,3505,979,93,8,19,5,0,0,17,0,95,11333
Cambridge,30043,4990,1419,425,151,736,184,6,1,112,0,406,38473
Canton,5793,3473,806,105,16,6,9,0,0,5,0,349,10562
Carlisle,1429,1015,163,28,18,13,4,0,0,6,0,17,2693
Carver,2586,1453,716,22,4,0,1,0,0,16,0,75,4873
Charlemont,299,144,82,2,2,11,2,0,0,1,0,3,546
Charlton,2134,1512,549,20,11,5,2,0,0,3,0,18,4254
Chatham,1954,1965,370,39,10,5,3,0,0,26,0,103,4475
Chelmsford,9050,5796,1632,165,29,35,15,0,0,47,0,193,16962
Chelsea,4676,1043,435,46,10,0,6,0,0,0,0,186,6402
Cheshire,1027,356,317,7,2,4,0,0,0,0,0,15,1728
Chester,278,183,105,2,0,0,0,0,0,3,0,6,577
Chesterfield,274,196,93,4,3,13,1,0,0,1,0,2,587
Chicopee,14203,5188,2495,117,23,0,14,0,0,63,0,226,22329
Chilmark,373,144,38,3,2,10,1,0,0,0,0,4,575
Clarksburg,502,157,125,2,3,0,0,0,0,1,0,23,813
Clinton,3509,1358,526,37,10,0,3,0,0,16,0,107,5566
Cohasset,2012,1759,315,45,8,0,5,0,0,5,0,143,4292
Colrain,424,245,138,8,6,0,1,0,0,22,0,1,845
Concord,5452,3129,528,98,40,33,13,0,0,36,0,85,9414
Conway,626,220,100,10,4,36,5,0,0,3,0,7,1011
Cummington,271,121,57,0,3,0,4,0,0,11,0,2,469
Dalton,2050,839,413,12,2,7,0,0,0,1,0,51,3375
Danvers,6515,4071,1159,92,20,4,10,0,0,4,0,255,12130
Dartmouth,7852,3017,1245,63,45,5,10,0,0,2,0,126,12365
Dedham,6620,3672,914,111,21,0,11,0,0,0,0,411,11760
Deerfield,1659,660,294,15,11,31,3,0,0,3,0,17,2693
Dennis,4353,3170,767,60,10,0,7,0,0,40,0,86,8493
Dighton,1444,769,403,14,6,0,0,0,0,0,0,46,2682
Douglas,1536,865,379,17,7,0,2,0,0,0,0,19,2825
Dover,1172,1716,177,27,3,9,5,0,0,13,0,66,3188
Dracut,7100,3338,1694,75,18,12,9,0,0,19,0,86,12351
Dudley,2032,1050,494,34,7,0,3,0,0,2,0,258,3880
Dunstable,651,458,156,8,5,0,1,0,0,1,0,11,1291
Duxbury,3615,3674,592,54,12,0,11,0,0,53,0,60,8071
E. Bridgewater,2754,1783,668,41,5,1,4,0,0,16,0,45,5317
E. Brookfield,474,320,124,5,0,0,1,0,0,0,0,3,927
E. Longmeadow,3690,2869,658,30,14,8,6,0,0,12,0,66,7353
Eastham,1664,1107,297,34,7,14,1,0,0,1,0,26,3151
Easthampton,4556,1787,973,38,16,55,12,0,0,10,0,99,7546
Easton,5060,3576,868,73,9,12,4,0,0,17,0,78,9697
Edgartown,1140,503,180,6,5,11,2,0,0,3,0,38,1888
Egremont,419,172,100,3,1,0,2,0,0,0,0,16,713
Erving,401,184,101,4,1,2,1,0,0,0,0,7,701
Essex,896,651,208,19,8,9,4,0,0,0,0,19,1814
Everett,9425,2835,1153,69,21,0,13,0,0,1,0,210,13727
