City/Town,Gore/ Lieberman,Bush/ Cheney,Nader/ LaDuke,Browne/ Olivier,Buchanan/ Higgins,Hagelin/ Tompkins,McReynolds/ Hollis,All Others,No Preference,Blanks,Total Votes Cast
Abington,3887,2661,331,43,26,8,0,10,0,36,7002
Acton,5993,3457,814,72,18,6,0,22,0,86,10468
Acushnet,3472,1177,178,18,20,3,0,7,0,111,4986
Adams,2629,933,199,35,18,3,0,5,0,111,3933
Agawam,7017,4859,749,97,63,5,0,2,0,71,12863
Alford,141,81,37,3,0,0,0,2,0,1,265
Amesbury,3866,2504,459,51,23,6,0,17,0,36,6962
Amherst,7061,1593,2950,126,18,14,0,17,0,86,11865
Andover,7899,7323,1042,97,31,7,0,30,0,84,16513
Aquinnah,177,20,42,1,0,0,0,0,0,1,241
Arlington,15550,6026,2203,176,92,17,0,53,0,146,24263
Ashburnham,1401,938,204,22,12,0,0,5,0,37,2619
Ashby,662,628,104,15,12,14,0,1,0,12,1448
Ashfield,514,251,183,3,4,3,0,2,0,11,971
Ashland,4314,2355,384,43,15,2,1,21,0,31,7166
Athol,2140,1757,252,41,30,5,0,4,0,49,4278
Attleboro,8924,5679,791,84,94,10,0,88,0,46,15716
Auburn,4746,3092,427,28,24,10,0,9,0,52,8388
Avon,1419,823,114,18,10,2,0,5,0,17,2408
Ayer,1541,986,182,35,15,4,0,0,0,17,2780
Barnstable,12080,10237,1467,108,70,13,0,33,0,89,24097
Barre,1167,948,179,13,10,0,0,4,0,22,2343
Becket,423,255,69,7,3,13,0,0,0,14,784
Bedford,3788,2474,419,55,22,8,0,0,0,53,6819
Belchertown,3095,2034,671,41,13,6,0,7,0,50,5917
Bellingham,4163,2361,352,42,33,1,0,8,0,44,7004
Belmont,7997,4412,1038,83,39,8,0,17,0,62,13656
Berkley,1300,970,145,9,16,1,0,2,0,32,2475
Berlin,651,585,95,18,5,1,0,0,0,12,1367
Bernardston,559,402,83,13,2,2,0,2,0,13,1076
Beverly,10803,6540,1187,112,63,22,0,35,0,132,18894
Billerica,9536,6079,893,108,110,8,0,28,0,86,16848
Blackstone,2076,1234,219,12,29,5,0,4,0,34,3613
Blandford,235,293,44,4,1,1,0,0,0,5,583
Bolton,1073,1034,193,24,8,2,0,5,0,10,2349
Boston,132393,36389,13588,1027,890,297,0,19,0,3610,188213
Bourne,4469,3753,514,34,30,8,0,16,0,48,8872
Boxborough,1287,917,199,17,10,1,0,5,0,21,2457
Boxford,1804,2312,135,35,13,123,0,2,0,23,4447
Boylston,1104,995,176,17,7,0,0,3,0,9,2311
Braintree,10038,6335,857,70,99,6,0,29,0,126,17560
Brewster,2956,2375,578,29,14,3,0,11,0,46,6012
Bridgewater,5295,4114,488,53,36,5,0,13,0,66,10070
Brimfield,744,666,119,6,4,11,0,0,0,12,1562
Brockton,18563,8288,1096,151,148,21,0,20,0,285,28572
Brookfield,656,596,98,7,11,3,0,3,0,33,1407
Brookline,19384,4350,2137,151,36,17,0,7,0,243,26325
Buckland,444,323,153,6,2,2,0,3,0,22,955
Burlington,6507,4254,562,57,57,9,0,21,0,105,11572
Cambridge,28846,5166,5469,293,87,47,7,70,0,332,40317
Canton,6320,3948,543,60,50,1,0,2,0,82,11006
Carlisle,1502,1091,267,18,7,6,0,7,0,7,2905
Carver,2917,2089,229,36,27,3,0,7,0,64,5372
Charlemont,324,209,85,4,1,1,0,0,0,11,635
Charlton,2335,2221,282,31,13,5,0,8,0,22,4917
Chatham,1966,2279,355,22,15,6,0,3,0,54,4700
Chelmsford,8978,6997,991,133,67,21,0,34,0,212,17433
Chelsea,4745,1307,275,35,45,6,0,6,0,179,6598
Cheshire,1024,501,87,30,10,4,0,1,0,25,1682
Chester,232,284,59,8,1,1,0,0,0,7,592
Chesterfield,228,272,81,6,1,0,0,1,0,6,595
Chicopee,13236,6512,1179,197,83,36,0,33,0,198,21474
Chilmark,390,171,108,3,1,2,0,1,0,4,680
Clarksburg,494,268,42,10,5,0,0,2,0,6,827
Clinton,3467,1977,294,40,34,5,0,10,0,48,5875
Cohasset,2028,2128,248,25,11,3,0,3,0,14,4460
Colrain,358,322,98,13,4,3,0,1,0,8,807
Concord,5534,3178,861,75,20,13,0,21,0,40,9742
Conway,575,280,183,8,3,0,1,0,0,4,1054
Cummington,238,161,79,1,0,0,0,0,0,0,479
Dalton,1980,948,212,32,8,1,0,2,0,67,3250
Danvers,6855,5008,659,51,43,7,0,21,0,77,12721
Dartmouth,8800,3916,661,62,67,9,0,11,0,107,13633
Dedham,7028,4110,645,72,67,8,0,25,0,97,12052
Deerfield,1561,793,341,24,5,1,0,0,0,27,2752
Dennis,4625,3735,537,44,27,13,0,9,0,78,9068
Dighton,1639,1059,138,12,14,2,0,0,0,22,2886
Douglas,1648,1486,198,20,25,3,0,0,0,17,3397
Dover,1217,1767,241,26,4,2,0,8,0,62,3327
Dracut,7270,4810,598,57,84,9,0,17,0,111,12956
Dudley,2298,1580,209,13,21,5,0,5,0,23,4154
Dunstable,709,677,67,10,3,13,0,1,0,8,1488
Duxbury,3838,4169,512,36,22,6,0,28,0,63,8674
E. Bridgewater,3024,2413,265,35,21,4,1,9,0,44,5816
E. Brookfield,442,463,43,8,4,3,0,1,0,11,975
E. Longmeadow,3621,3379,462,33,21,2,0,4,0,113,7635
Eastham,1743,1341,297,0,0,0,0,0,0,81,3462
Easthampton,4174,2355,773,60,25,6,0,6,0,107,7506
Easton,5675,4379,500,62,43,3,0,13,0,61,10736
Edgartown,1218,705,174,12,7,2,0,6,0,8,2132
Egremont,463,195,92,5,1,12,0,0,0,8,776
Erving,358,226,72,6,3,1,0,1,0,13,680
Essex,951,815,153,5,4,5,0,3,0,9,1945
Everett,9342,3239,559,74,79,12,0,1,0,492,13798
Fairhaven,4937,1874,346,40,37,8,0,0,0,264,7506
Fall River,22051,5621,1002,110,155,44,0,32,0,553,29568
Falmouth,9835,6414,1226,64,53,12,0,27,0,166,17797
Fitchburg,7773,3839,657,123,60,9,1,14,0,188,12664
Florida,195,124,17,2,0,1,0,1,0,6,346
Foxborough,4526,3312,439,52,40,4,0,11,0,75,8459
Framingham,17308,7347,1429,179,93,20,0,41,0,198,26615
Franklin,7882,5213,674,82,48,10,0,5,0,89,14003
Freetown,2297,1428,206,13,19,2,0,5,0,44,4014
Gardner,4728,2338,416,62,29,4,0,0,0,145,7722
Georgetown,1919,1631,220,22,14,7,0,7,0,21,3841
Gill,438,214,95,8,5,0,0,1,0,27,788
Gloucester,8352,4156,987,97,37,16,0,22,0,212,13879
Goshen,236,180,61,5,3,3,0,1,0,7,496
Gosnold,39,33,7,1,1,0,0,0,0,0,81
Grafton,3962,2808,418,50,36,8,0,12,0,41,7335
Granby,1494,1178,245,20,12,5,0,0,0,16,2970
Granville,275,425,54,9,8,0,0,0,0,6,777
Great Barrington,2122,741,478,17,8,7,0,3,0,83,3459
Greenfield,4246,2187,917,69,35,14,0,46,0,61,7575
Groton,2557,2051,353,37,13,4,0,19,0,100,5134
Groveland,1567,1312,211,17,10,2,0,8,0,19,3146
Hadley,1412,836,371,25,12,1,0,3,0,50,2710
Halifax,1854,1442,206,25,15,4,0,9,0,32,3587
Hamilton,1751,2113,303,16,12,2,0,10,0,21,4228
Hampden,1176,1237,171,20,12,3,0,1,0,18,2638
Hancock,199,122,28,7,1,1,0,0,0,0,358
Hanover,3396,3058,342,35,34,2,0,8,0,39,6914
Hanson,2499,1962,224,22,14,3,0,8,0,37,4769
Hardwick,611,475,97,8,11,2,0,2,0,13,1219
Harvard,1589,1124,247,35,46,1,0,6,0,18,3066
Harwich,3396,3068,521,34,25,3,0,0,0,174,7221
Hatfield,1078,649,161,12,2,0,0,3,0,25,1930
Haverhill,12926,7761,1250,128,115,26,0,33,0,224,22463
Hawley,77,66,31,1,0,0,0,0,0,0,175
Heath,162,124,59,7,17,0,0,0,0,4,373
Hingham,5681,5116,610,53,26,5,0,16,0,201,11708
Hinsdale,502,277,60,14,4,1,0,3,0,14,875
Holbrook,3059,1742,210,16,19,7,0,12,0,83,5148
Holden,4302,3923,538,39,28,5,0,7,0,29,8871
Holland,513,455,56,6,9,1,0,2,0,10,1052
Holliston,4201,2590,506,54,17,2,0,14,0,27,7411
Holyoke,8703,3989,855,122,78,10,0,14,0,422,14193
Hopedale,1705,1020,153,19,4,1,0,3,0,30,2935
Hopkinton,3336,2923,390,42,24,5,0,16,0,53,6789
Hubbardston,860,861,134,21,11,3,0,4,0,9,1903
Hudson,4961,2811,456,70,44,4,0,4,0,47,8397
Hull,3532,1537,357,30,35,3,0,0,0,33,5527
Huntington,385,447,93,10,3,0,0,0,0,6,944
Ipswich,3548,2879,556,49,24,5,0,15,0,46,7122
Kingston,2961,2292,292,36,30,2,0,8,0,33,5654
