City/Town,Kerry/ Edwards,Bush/ Cheney,Badnarik/ Campagna,Cobb/ LaMarche,Nader/ Camejo,All Others,No Preference,Blanks,Total Votes Cast
Abington,4192,3447,33,13,0,24,0,22,7731
Acton,7063,3485,86,41,15,48,0,61,10799
Acushnet,3790,1697,16,16,7,9,0,39,5574
Adams,3046,973,17,13,8,5,0,11,4073
Agawam,7691,5957,58,35,0,35,0,255,14031
Alford,208,89,3,1,2,0,0,0,303
Amesbury,4589,3228,49,22,14,11,0,24,7937
Amherst,9745,1466,63,178,82,23,0,35,11592
Andover,9205,7907,106,61,51,33,0,47,17410
Aquinnah,270,22,1,2,1,0,0,0,296
Arlington,17856,6428,162,137,71,79,0,72,24805
Ashburnham,1654,1426,13,13,8,5,0,7,3126
Ashby,829,891,10,14,3,2,0,2,1751
Ashfield,839,236,5,12,0,3,0,9,1104
Ashland,4729,3046,38,21,11,15,0,19,7879
Athol,2475,2095,33,24,8,9,0,13,4657
Attleboro,9857,7714,112,59,57,43,0,42,17884
Auburn,5002,3738,40,18,8,10,0,22,8838
Avon,1357,1046,12,6,5,7,0,20,2453
Ayer,1616,1316,19,13,4,0,0,17,2985
Barnstable,13236,11938,105,87,0,77,0,111,25554
Barre,1323,1174,17,11,5,3,0,13,2546
Becket,539,282,9,3,10,3,0,2,848
Bedford,4159,2593,51,30,23,39,0,19,6914
Belchertown,4302,2460,28,40,14,7,0,18,6869
Bellingham,4361,3399,39,26,25,13,0,19,7882
Belmont,8961,4287,80,64,46,30,0,52,13520
Berkley,1543,1357,17,17,8,6,0,7,2955
Berlin,844,696,14,6,0,0,0,13,1573
Bernardston,762,448,9,6,0,6,0,5,1236
Beverly,11543,7791,127,55,42,67,0,52,19677
Billerica,9463,8472,113,54,34,52,0,34,18222
Blackstone,2209,1816,22,12,5,8,0,9,4081
Blandford,315,335,7,7,3,0,0,2,669
Bolton,1427,1180,19,18,10,5,0,5,2664
Boston,160884,44518,942,985,325,582,0,466,208702
Bourne,4936,4788,35,24,10,34,0,33,9860
Boxborough,1539,990,20,10,12,11,0,7,2589
Boxford,2064,2664,29,10,15,14,0,15,4811
Boylston,1302,1113,19,10,0,10,0,13,2467
Braintree,10219,7797,71,42,20,52,0,60,18261
Brewster,3827,2727,36,24,23,14,0,38,6689
Bridgewater,5589,5529,63,21,18,22,0,48,11290
Brimfield,920,894,6,11,3,6,0,5,1845
Brockton,20091,10058,129,66,50,35,0,79,30508
Brookfield,817,782,9,7,0,10,0,11,1636
Brookline,21256,5269,133,140,97,54,0,85,27034
Buckland,684,312,2,11,1,0,0,26,1036
Burlington,6747,5241,73,27,26,15,0,35,12164
Cambridge,35886,5338,309,430,208,124,0,148,42443
Canton,6476,4875,50,21,21,15,0,49,11507
Carlisle,1947,1124,23,16,0,19,0,15,3144
Carver,3054,2731,27,22,4,12,0,29,5879
Charlemont,433,223,5,7,2,0,0,2,672
Charlton,2639,2983,30,12,6,14,0,16,5700
Chatham,2423,2341,16,10,10,13,0,107,4920
Chelmsford,9688,8485,125,69,54,43,0,52,18516
Chelsea,5145,1833,24,22,8,0,0,134,7166
Cheshire,1254,543,3,15,4,1,0,11,1831
Chester,322,330,4,4,0,3,0,3,666
Chesterfield,363,293,2,10,0,2,0,3,673
Chicopee,14642,7957,115,66,0,77,0,104,22961
Chilmark,583,156,1,4,0,2,0,1,747
Clarksburg,598,268,1,2,0,0,0,8,877
Clinton,3559,2429,42,23,0,29,0,40,6122
Cohasset,2288,2165,25,12,10,10,0,16,4526
Colrain,545,314,9,6,0,2,0,0,876
Concord,6800,3182,60,63,34,34,0,32,10205
Conway,846,309,14,11,3,3,0,8,1194
Cummington,370,173,1,3,0,0,0,2,549
Dalton,2448,1041,11,7,11,6,0,8,3532
Danvers,7052,6090,63,28,24,35,0,45,13337
Dartmouth,10218,4855,71,35,16,20,0,36,15251
Dedham,7410,4866,66,35,0,0,0,98,12475
Deerfield,2115,861,14,14,0,0,0,22,3026
Dennis,5246,4325,45,36,20,0,0,96,9768
Dighton,1745,1477,17,13,7,8,0,6,3273
Douglas,1866,2048,18,13,7,0,0,17,3969
Dover,1605,1688,25,14,10,11,0,10,3363
Dracut,6974,6671,59,42,0,0,0,125,13871
Dudley,2618,2177,16,12,8,9,0,19,4859
Dunstable,843,883,12,1,7,7,0,4,1757
Duxbury,4464,4583,47,31,27,14,0,23,9189
E. Bridgewater,3121,3401,31,10,6,8,0,19,6596
E. Brookfield,467,623,1,4,0,3,0,2,1100
E. Longmeadow,4206,4001,17,14,0,20,0,70,8328
Eastham,2227,1480,23,10,11,0,0,31,3782
Easthampton,5500,2654,48,55,26,16,0,36,8335
Easton,5878,5436,58,33,28,17,0,27,11477
Edgartown,1539,793,5,9,0,1,0,10,2357
Egremont,593,199,4,5,0,0,0,11,812
Erving,500,263,5,2,0,7,0,4,781
Essex,1123,954,21,6,0,2,0,7,2113
