City/Town,Obama/ Biden,McCain/ Palin,Nader/ Gonzalez,Barr/ Root,McKinney/ Clemente,Baldwin/ Castle,All Others,No Preference,Blanks,Total Votes Cast
Abington,4094,3765,75,34,10,17,48,0,54,8097
Acton,7894,3477,79,71,18,7,55,0,34,11635
Acushnet,3232,2110,70,25,10,12,36,0,98,5593
Adams,3066,893,56,16,7,11,19,0,31,4099
Agawam,7595,6428,230,74,26,25,58,0,74,14510
Alford,261,57,1,0,0,2,0,0,2,323
Amesbury,5111,3222,69,67,20,9,42,0,31,8571
Amherst,11198,1307,164,58,77,7,69,0,57,12937
Andover,10177,7798,127,88,30,12,59,0,53,18344
Aquinnah,280,26,6,0,0,0,1,0,0,313
Arlington,18365,6407,206,135,80,28,144,0,123,25488
Ashburnham,1787,1486,37,20,6,6,20,0,28,3390
Ashby,885,932,22,11,9,4,8,0,10,1881
Ashfield,903,198,9,7,8,1,3,0,7,1136
Ashland,5060,3184,65,55,20,4,36,0,56,8480
Athol,2647,1956,71,20,15,11,31,0,20,4771
Attleboro,10523,8003,211,104,38,49,90,0,67,19085
Auburn,4794,3849,118,45,14,22,53,0,55,8950
Avon,1173,1159,27,10,4,7,6,0,38,2424
Ayer,1895,1397,30,18,8,11,11,0,24,3394
Barnstable,13559,11084,208,103,37,37,0,0,181,25209
Barre,1409,1205,37,17,8,4,13,0,16,2709
Becket,672,255,11,3,6,5,2,0,5,959
Bedford,4516,2718,68,44,14,12,30,0,33,7435
Belchertown,4829,2683,100,21,24,12,27,0,37,7733
Bellingham,4364,3783,95,31,21,25,55,0,39,8413
Belmont,9404,3982,118,80,29,25,64,0,110,13812
Berkley,1585,1558,39,17,4,10,35,0,27,3275
Berlin,870,712,15,27,4,3,0,0,22,1653
Bernardston,849,354,16,5,4,3,6,0,8,1245
Beverly,12247,7780,193,109,27,27,0,0,231,20614
Billerica,9700,9280,202,79,35,25,127,0,98,19546
Blackstone,2229,1885,58,20,5,10,39,0,24,4270
Blandford,339,344,7,4,3,2,1,0,1,701
Bolton,1598,1214,24,13,7,5,25,0,9,2895
Boston,185976,45548,1466,788,616,235,949,0,947,236525
Bourne,5076,4859,89,31,10,16,44,0,54,10179
Boxborough,1798,996,20,22,5,5,5,0,15,2866
Boxford,2286,2586,33,28,5,7,20,0,16,4981
Boylston,1352,1215,31,15,4,6,17,0,9,2649
Braintree,9298,8964,176,68,22,23,149,0,132,18832
Brewster,3903,2535,66,40,19,12,16,0,76,6667
Bridgewater,5889,5861,122,55,20,18,80,0,65,12110
Brimfield,984,979,54,10,5,7,4,0,6,2049
Brockton,23299,9646,244,96,56,60,127,0,225,33753
Brookfield,875,829,23,5,5,9,16,0,8,1770
Brookline,22484,4842,180,113,78,15,136,0,123,27971
Buckland,785,249,5,4,4,0,6,0,25,1078
Burlington,6822,5703,103,55,19,16,68,0,69,12855
Cambridge,40876,4697,340,229,181,48,160,0,196,46727
Canton,6460,5396,92,45,14,8,56,0,73,12144
Carlisle,2116,1053,30,14,4,4,7,0,18,3246
Carver,2937,2901,53,20,9,17,85,0,155,6177
Charlemont,486,175,11,5,3,2,0,0,12,694
Charlton,2883,3411,74,31,9,12,30,0,36,6486
Chatham,2585,2116,30,15,6,5,20,0,25,4802
Chelmsford,10360,8712,169,103,27,19,96,0,97,19583
Chelsea,5926,1820,59,23,37,15,0,0,194,8074
Cheshire,1318,508,36,6,3,9,4,0,12,1896
Chester,369,310,10,5,2,3,3,0,7,709
Chesterfield,444,265,8,5,6,2,3,0,3,736
Chicopee,14172,8268,396,110,59,56,175,0,242,23478
Chilmark,597,125,5,4,4,1,3,0,3,742
Clarksburg,635,236,11,2,2,2,4,0,13,905
Clinton,3701,2563,88,29,11,14,56,0,44,6506
Cohasset,2383,2156,22,21,4,2,21,0,20,4629
Colrain,654,245,14,7,3,9,3,0,8,943
Concord,7435,2903,63,57,28,16,32,0,48,10582
Conway,952,273,11,2,12,3,3,0,2,1258
Cummington,376,148,10,3,1,0,0,0,3,541
Dalton,2559,916,47,6,9,6,15,0,9,3567
Danvers,7558,6093,131,55,15,17,111,0,70,14050
Dartmouth,10442,5876,172,56,16,23,152,0,73,16810
Dedham,7108,5361,116,62,25,20,71,0,94,12857
Deerfield,2198,786,42,15,4,4,11,0,15,3075
Dennis,5209,4098,71,30,22,18,0,0,125,9573
Dighton,1732,1719,59,19,3,11,32,0,23,3598
Douglas,1962,2235,50,20,9,5,10,0,31,4322
Dover,1741,1614,20,14,4,2,17,0,16,3428
Dracut,7216,7284,138,59,15,18,0,0,154,14884
Dudley,2525,2366,61,24,13,14,36,0,26,5065
Dunstable,916,892,17,12,4,4,12,0,9,1866
