City/Town,Obama/ Biden,Romney/ Ryan,Johnson/ Gray,Stein/ Honkala,All Others,No Preference,Blanks,Total Votes Cast
Abington,4144,4061,53,37,20,0,28,8343
Acton,7872,3875,136,83,17,0,39,12022
Acushnet,3046,2196,59,26,18,0,53,5398
Adams,3013,819,53,25,9,0,12,3931
Agawam,7288,6870,136,60,33,0,56,14443
Alford,233,64,1,6,0,0,2,306
Amesbury,4863,3427,101,34,21,0,77,8523
Amherst,12798,1911,270,444,61,0,36,15520
Andover,9401,9096,181,82,0,0,70,18830
Aquinnah,252,38,2,6,0,0,1,299
Arlington,18850,6694,249,316,50,0,94,26253
Ashburnham,1632,1535,38,24,18,0,7,3254
Ashby,827,961,32,10,5,0,8,1843
Ashfield,892,187,11,31,1,0,8,1130
Ashland,4979,3409,115,36,9,0,27,8575
Athol,2543,2079,78,41,14,0,15,4770
Attleboro,10502,8470,263,95,54,0,45,19429
Auburn,4520,4121,106,63,18,0,44,8872
Avon,1222,1131,31,11,0,0,18,2413
Ayer,2025,1558,43,21,6,0,15,3668
Barnstable,12947,12355,181,128,0,0,123,25734
Barre,1345,1279,36,25,11,0,12,2708
Becket,686,259,14,10,1,0,5,975
Bedford,4469,3061,90,60,18,0,21,7719
Belchertown,4600,2914,73,81,15,0,22,7705
Bellingham,4263,4133,110,30,24,0,24,8584
Belmont,9313,4752,111,137,28,0,49,14390
Berkley,1573,1689,32,10,16,0,18,3338
Berlin,921,830,35,21,0,0,7,1814
Bernardston,809,329,19,9,8,0,7,1181
Beverly,12158,8328,263,114,53,0,104,21020
Billerica,9839,9959,210,92,64,0,82,20246
Blackstone,2222,2028,50,17,8,0,19,4344
Blandford,300,348,7,5,1,0,6,667
Bolton,1554,1463,37,15,7,0,10,3086
Boston,200190,48985,2119,2112,483,0,1132,255021
Bourne,4812,5296,68,40,28,0,30,10274
Boxborough,1753,1140,33,25,0,0,14,2965
Boxford,2066,3034,48,14,13,0,18,5193
Boylston,1283,1343,36,17,8,0,6,2693
Braintree,10059,9232,157,75,51,0,97,19671
Brewster,3678,2752,60,40,13,0,36,6579
Bridgewater,5777,6098,110,47,28,0,55,12115
Brimfield,897,1095,31,20,3,0,8,2054
Brockton,25262,8710,227,85,50,0,151,34485
Brookfield,830,858,26,19,5,0,5,1743
Brookline,22277,5880,208,255,33,0,136,28789
Buckland,750,252,11,21,0,0,21,1055
Burlington,6983,6191,115,46,25,0,48,13408
Cambridge,43515,5476,568,938,122,0,130,50749
Canton,6488,5779,102,37,13,0,52,12471
Carlisle,1972,1318,32,39,3,0,10,3374
Carver,2872,3111,49,20,13,0,21,6086
Charlemont,456,166,6,11,0,0,4,643
Charlton,2914,3662,95,41,12,0,22,6746
Chatham,2293,2280,26,23,16,0,16,4654
Chelmsford,9651,9573,224,99,33,0,84,19664
Chelsea,6802,1515,70,36,0,0,220,8643
Cheshire,1219,493,23,10,2,0,14,1761
Chester,331,305,18,7,3,0,3,667
Chesterfield,455,228,17,16,0,0,7,723
Chicopee,14302,8241,263,133,97,0,168,23204
Chilmark,589,127,7,8,3,0,4,738
Clarksburg,616,232,5,7,0,0,5,865
Clinton,3768,2621,90,36,19,0,32,6566
Cohasset,2250,2601,35,9,10,0,13,4918
Colrain,618,232,19,12,5,0,7,893
Concord,7316,3527,95,76,12,0,29,11055
Conway,926,288,6,30,6,0,4,1260
