City/Town,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blanks,Total Votes Cast
Abington,4115,4017,417,102,0,0,0,0,0,101,0,160,8912
Acton,9198,2555,552,208,40,0,0,0,0,230,0,184,12967
Acushnet,2401,2834,174,87,5,0,0,0,0,65,0,106,5672
Adams,2413,1285,189,80,11,0,0,0,0,43,0,59,4080
Agawam,6208,7421,651,208,9,0,0,0,0,188,0,192,14877
Alford,226,52,8,8,0,0,0,0,0,5,0,8,307
Amesbury,5174,3231,527,151,13,0,0,0,0,145,0,161,9402
Amherst,12357,1248,445,613,11,0,0,0,0,253,0,139,15066
Andover,11222,6522,895,202,43,0,0,0,0,335,0,353,19572
Aquinnah,232,34,6,7,0,0,0,0,0,5,0,3,287
Arlington,20539,4652,732,457,51,0,0,0,0,430,0,410,27271
Ashburnham,1439,1522,247,66,3,0,0,0,0,75,0,47,3399
Ashby,722,974,129,45,1,0,0,0,0,20,0,42,1933
Ashfield,836,184,52,44,2,0,0,12,0,2,0,23,1155
Ashland,5684,2768,457,105,0,0,0,0,0,0,0,312,9326
Athol,2076,2335,328,116,0,0,0,0,0,135,0,66,5056
Attleboro,10518,8571,1032,321,0,0,0,0,0,130,0,309,20881
Auburn,4496,4000,553,92,21,0,0,0,0,136,0,157,9455
Avon,1254,1068,79,40,1,0,0,0,0,16,0,54,2512
Ayer,2162,1498,292,65,0,0,0,0,0,118,0,41,4176
Barnstable,13005,11195,1049,348,45,0,0,0,0,387,0,351,26380
Barre,1201,1429,164,58,7,0,0,0,0,42,0,35,2936
Becket,571,368,37,25,6,0,0,0,0,22,0,18,1047
Bedford,5085,2211,404,92,0,0,0,0,0,162,0,112,8066
Belchertown,4408,3153,392,192,0,0,0,0,0,91,0,182,8418
Bellingham,4033,4059,502,100,0,0,0,0,0,174,0,114,8982
Belmont,10252,3106,561,237,69,0,0,0,0,250,0,216,14691
Berkley,1455,1926,149,51,0,0,0,0,0,56,0,42,3679
Berlin,1009,745,124,38,3,0,0,0,0,20,0,27,1966
Bernardston,711,382,81,27,0,0,0,0,0,27,0,16,1244
Beverly,13185,6904,1142,332,69,0,0,0,0,319,0,462,22413
Billerica,10100,10319,976,264,0,0,0,0,0,423,0,276,22358
Blackstone,1850,2327,254,59,6,0,0,0,0,49,0,78,4623
Blandford,256,405,28,8,2,0,0,0,0,8,0,10,717
Bolton,1891,1036,230,54,14,0,0,0,0,67,0,53,3345
Boston,221093,38087,7025,3969,106,0,0,2,0,4147,0,2937,277366
Bourne,4910,5201,442,129,4,0,0,0,0,180,0,169,11035
Boxborough,1987,756,159,36,18,0,0,0,0,70,0,43,3069
Boxford,2454,2194,297,35,0,0,0,0,0,140,0,88,5208
Boylston,1424,1125,176,35,0,0,0,0,0,56,0,45,2861
Braintree,10469,8427,766,216,1,0,0,0,0,386,0,361,20626
Brewster,3813,2370,297,112,0,0,0,0,0,95,0,128,6815
Bridgewater,5718,6261,624,167,0,0,0,0,0,220,0,150,13140
Brimfield,793,1113,117,34,5,0,0,0,0,16,0,48,2126
Brockton,25593,8801,920,388,0,0,0,0,0,337,0,446,36485
Brookfield,708,936,102,27,0,0,0,0,0,29,0,25,1827
Brookline,24583,3175,731,398,58,0,0,0,0,414,0,321,29680
Buckland,703,230,53,39,0,0,0,0,0,16,0,26,1067
Burlington,7633,5434,558,123,26,0,0,0,0,203,0,242,14219
Cambridge,46563,3323,1213,1032,137,5,0,0,0,675,0,334,53282
Canton,7308,4731,574,109,4,0,0,0,0,159,0,285,13170
Carlisle,2302,732,192,43,31,0,0,0,0,36,0,55,3391
Carver,2529,3206,364,72,5,0,0,0,0,102,0,89,6367
Charlemont,407,228,40,25,0,0,0,0,0,0,0,35,735
