City/Town,"Joseph R. Biden, Jr.",Donald J. Trump,Jo Jorgensen,Howard Hawkins,All Others,No Preference,Blanks,Total Votes Cast
Abington,5209,4236,146,45,24,0,75,9735
Acton,11105,2471,193,74,84,0,91,14018
Acushnet,2664,3290,73,30,11,0,58,6126
Adams,2894,1428,77,35,7,0,27,4468
Agawam,7794,8073,186,74,58,0,77,16262
Alford,271,50,1,1,2,0,5,330
Amesbury,6786,3326,174,54,55,0,67,10462
Amherst,10718,873,89,129,62,0,42,11913
Andover,14503,6693,291,105,151,0,158,21901
Aquinnah,311,34,8,1,1,0,0,355
Arlington,23671,4381,232,149,118,0,208,28759
Ashburnham,2030,1667,87,21,22,0,10,3837
Ashby,956,1008,41,16,2,0,9,2032
Ashfield,993,180,30,12,3,0,12,1230
Ashland,7308,2936,153,47,0,0,120,10564
Athol,2705,2579,128,57,33,0,29,5531
Attleboro,13661,9272,373,149,100,0,136,23691
Auburn,5620,4306,173,66,36,0,60,10261
Avon,1601,1030,36,21,9,0,26,2723
Ayer,2932,1537,111,26,19,0,28,4653
Barnstable,16491,11436,365,110,25,0,257,28684
Barre,1535,1523,68,19,12,0,10,3167
Becket,757,413,17,6,2,0,3,1198
Bedford,6452,2180,126,44,57,0,43,8902
Belchertown,5893,3481,147,68,20,0,82,9691
Bellingham,5211,4402,161,68,47,0,44,9933
Belmont,11999,2956,183,111,107,0,136,15492
Berkley,1764,2251,62,20,16,0,30,4143
Berlin,1375,816,48,18,8,0,10,2275
Bernardston,916,423,28,8,0,0,10,1385
Beverly,16703,7205,375,109,58,0,254,24704
Billerica,13328,10731,360,113,112,0,134,24778
Blackstone,2450,2560,82,27,16,0,18,5153
Blandford,307,454,13,1,0,0,6,781
Bolton,2529,1140,75,18,0,0,51,3813
Boston,242717,45425,2603,1484,1567,0,1501,295297
Bourne,6527,5331,148,59,54,0,127,12246
Boxborough,2526,786,63,22,5,0,38,3440
Boxford,3117,2271,93,23,39,0,39,5582
Boylston,1877,1318,70,15,24,0,17,3321
Braintree,12612,8744,232,94,113,0,158,21953
Brewster,4940,2338,102,38,18,0,58,7494
Bridgewater,7688,6572,220,72,64,0,87,14703
Brimfield,1063,1193,44,11,3,0,35,2349
Brockton,29475,8689,348,143,57,0,242,38954
Brookfield,946,1054,34,16,4,0,8,2062
Brookline,27150,3418,243,148,125,0,221,31305
Buckland,889,268,18,14,2,0,12,1203
Burlington,9447,5566,196,76,61,0,85,15431
Cambridge,50233,3519,395,387,261,0,244,55039
Canton,9222,4965,187,56,55,0,86,14571
Carlisle,2772,767,58,17,24,0,32,3670
Carver,3277,3504,96,38,46,0,40,7001
Charlemont,492,235,12,4,0,0,6,749
Charlton,3759,4127,158,45,33,0,47,8169
Chatham,3107,1834,70,23,41,0,47,5122
Chelmsford,13901,7823,398,106,121,0,137,22486
Chelsea,8155,2215,96,58,0,0,123,10647
Cheshire,1124,775,36,0,11,0,20,1966
Chester,313,415,14,2,0,0,5,749
Chesterfield,510,287,14,9,2,0,11,833
Chicopee,14502,10636,397,174,86,0,131,25926
Chilmark,796,111,5,3,6,0,3,924
Clarksburg,583,390,13,2,2,0,12,1002
Clinton,4688,2886,158,54,40,0,34,7860
Cohasset,3849,1665,96,11,48,0,58,5727
Colrain,667,306,20,10,4,0,5,1012
Concord,10024,1977,160,52,98,0,80,12391
Conway,989,278,24,11,1,0,5,1308
Cummington,413,162,7,4,5,0,5,596
Dalton,2682,1039,63,27,10,0,11,3832
Danvers,9833,6725,211,91,47,0,155,17062
Dartmouth,9792,7778,181,70,63,0,95,17979
Dedham,10760,4771,191,60,85,0,114,15981
Deerfield,2425,839,55,21,10,0,20,3370
Dennis,6181,3938,119,36,47,0,53,10374
Dighton,2139,2473,62,25,25,0,19,4743
Douglas,2458,2956,91,29,0,0,53,5587
Dover,2761,1142,67,14,39,0,41,4064
Dracut,8706,8812,253,74,0,0,182,18027
Dudley,2744,3192,103,27,26,0,23,6115
Dunstable,1243,877,46,7,0,0,30,2203
Duxbury,6910,4032,166,24,87,0,80,11299
E. Bridgewater,4183,4366,140,43,35,0,54,8821
E. Brookfield,593,741,18,7,6,0,5,1370
E. Longmeadow,5295,4623,119,42,43,0,49,10171
Eastham,2864,1151,48,16,21,0,17,4117
Easthampton,7796,2525,132,108,31,0,56,10648
Easton,8715,5467,198,77,62,0,86,14605
Edgartown,2185,854,39,15,8,0,25,3126
Egremont,783,174,8,7,1,0,3,976
Erving,550,355,15,4,5,0,7,936
Essex,1650,796,45,8,13,0,16,2528
Everett,10492,4093,108,72,52,0,76,14893
Fairhaven,5093,4275,114,45,30,0,72,9629
Fall River,17459,13571,379,156,51,0,584,32200
Falmouth,14134,7319,245,96,96,0,164,22054
Fitchburg,9897,6186,277,104,45,0,105,16614
Florida,209,203,6,0,0,0,2,420
Foxborough,6740,4357,163,43,43,0,79,11425
Framingham,23622,7712,391,150,173,0,187,32235
Franklin,12475,7345,338,101,87,0,206,20552
Freetown,2483,2906,70,26,21,0,27,5533
Gardner,5213,3939,211,60,21,0,73,9517
Georgetown,3051,2388,84,22,40,0,30,5615
Gill,679,279,18,5,6,0,2,989
Gloucester,12138,5595,217,88,121,0,154,18313
Goshen,418,231,15,5,3,0,1,673
Gosnold,56,22,2,1,1,0,0,82
Grafton,7139,4011,175,71,57,0,78,11531
Granby,2055,1815,56,22,8,0,21,3977
Granville,402,565,20,3,0,0,12,1002
Great Barrington,3368,654,44,28,18,0,15,4127
Greenfield,6883,2265,136,83,42,0,298,9707
Groton,4941,2149,125,29,41,0,71,7356
Groveland,2421,1976,92,22,25,0,30,4566
Hadley,2476,925,49,27,16,0,22,3515
Halifax,2354,2398,75,30,17,0,19,4893
Hamilton,3364,1458,105,18,43,0,40,5028
Hampden,1539,1713,58,16,13,0,36,3375
Hancock,257,207,9,3,2,0,4,482
Hanover,4910,4507,153,28,54,0,67,9719
Hanson,3244,3314,125,34,24,0,58,6799
Hardwick,749,733,32,7,8,0,5,1534
Harvard,3074,954,71,18,12,0,28,4157
Harwich,5833,3365,149,47,54,0,69,9517
Hatfield,1578,686,23,15,11,0,10,2323
Haverhill,19020,12571,444,197,169,0,171,32572
Hawley,155,70,3,3,0,0,0,231
Heath,294,158,8,6,2,0,2,470
Hingham,10855,4986,208,43,137,0,157,16386
Hinsdale,771,402,18,15,4,0,6,1216
Holbrook,3710,2381,71,31,20,0,45,6258
Holden,7325,4996,200,65,68,0,82,12736
Holland,698,793,38,7,9,0,13,1558
Holliston,6771,2579,161,45,61,0,50,9667
Holyoke,11152,4843,169,128,21,0,170,16483
Hopedale,2285,1385,62,22,21,0,26,3801
Hopkinton,7047,2981,143,43,82,0,58,10354
Hubbardston,1390,1442,63,21,11,0,16,2943
Hudson,7414,3852,196,71,50,0,70,11653
Hull,4507,2433,77,33,30,0,55,7135
Huntington,585,593,24,13,2,0,6,1223
Ipswich,6273,3109,149,43,40,0,114,9728
Kingston,4522,3775,164,31,28,0,49,8569
Lakeville,3336,3778,140,38,31,0,54,7377
Lancaster,2458,1762,88,21,25,0,30,4384
Lanesborough,1237,604,31,9,10,0,5,1896
Lawrence,17023,5803,221,98,63,0,159,23367
Lee,2415,985,51,23,15,0,17,3506
Leicester,3101,3146,103,39,26,0,38,6453
Lenox,2701,602,30,17,18,0,14,3382
Leominster,12344,8592,370,145,74,0,149,21674
Leverett,1193,163,12,12,6,0,4,1390
Lexington,16308,3337,193,97,113,0,120,20168
Leyden,330,155,11,4,2,0,1,503
Lincoln,3493,683,51,21,23,0,29,4300
Littleton,4479,1980,151,24,57,0,31,6722
Longmeadow,6679,3493,143,32,48,0,61,10456
Lowell,25544,12346,466,229,96,0,301,38982
Ludlow,5467,5695,127,57,38,0,69,11453
Lunenburg,4027,2936,142,43,44,0,32,7224
Lynn,24662,10425,343,209,138,0,249,36026
Lynnfield,4213,3969,89,32,42,0,55,8400
Malden,19111,6026,254,141,91,0,134,25757
Manchester-by-the-Sea,2712,1014,53,14,26,0,22,3841
Mansfield,9024,5149,222,66,76,0,100,14637
Marblehead,10128,3790,176,47,93,0,109,14343
Marion,2369,1244,52,11,20,0,21,3717
Marlborough,12610,6100,250,90,93,0,150,19293
Marshfield,9671,7498,233,79,1,0,178,17660
Mashpee,5982,4086,122,41,32,0,94,10357
Mattapoisett,2730,1888,53,18,8,0,44,4741
Maynard,4942,1672,89,44,39,0,17,6803
Medfield,5668,2374,148,21,0,0,275,8486
Medford,23495,7566,294,208,150,0,364,32077
Medway,5156,3004,155,43,58,0,59,8475
Melrose,13213,4646,197,71,114,0,97,18338
