office_branch,office_id,office,district,district_display,district_id,election_id,election_date,is_special,id_incumbent,name_incumbent,party_incumbent,city_town_incumbent
Executive,3,Governor,NA,NA,NA,154338,2022-11-08,FALSE,77961,Maura Healey,Democratic,NA
Executive,529,Governor's Council,Eighth,8th,64610,154361,2022-11-08,FALSE,88280,Tara J. Jacobs,Democratic,North Adams
Executive,529,Governor's Council,Fifth,5th,64607,154373,2022-11-08,FALSE,74538,Eileen R. Duff,Democratic,Gloucester
Executive,529,Governor's Council,First,1st,64603,154352,2022-11-08,FALSE,77974,Joseph C. Ferreira,Democratic,Swansea
Executive,529,Governor's Council,Fourth,4th,64606,154335,2022-11-08,FALSE,71194,"Christopher A. Iannella, Jr.",Democratic,Boston
Executive,529,Governor's Council,Second,2nd,64604,154406,2022-11-08,FALSE,73658,Robert L. Jubinville,Democratic,Milton
Executive,529,Governor's Council,Seventh,7th,64609,154400,2022-11-08,FALSE,78580,Paul M. Depalo,Democratic,Worcester
Executive,529,Governor's Council,Sixth,6th,64608,154444,2022-11-08,FALSE,73739,Terrence W. Kennedy,Democratic,Lynnfield
Executive,529,Governor's Council,Third,3rd,64605,154345,2022-11-08,FALSE,72070,Marilyn Petitto Devaney,Democratic,Watertown
Legislative,8,State Representative,"Barnstable, Dukes and Nantucket","Barnstable, Dukes and Nantucket",62910,154390,2022-11-08,FALSE,78361,Dylan A. Fernandes,Democratic,Falmouth
Legislative,8,State Representative,Eighteenth Essex,18th Essex,58773,154385,2022-11-08,FALSE,78568,Tram T. Nguyen,Democratic,Andover
Legislative,8,State Representative,Eighteenth Middlesex,18th Middlesex,58808,154542,2022-11-08,FALSE,78100,Rady Mom,Democratic,Lowell
Legislative,8,State Representative,Eighteenth Suffolk,18th Suffolk,58872,154447,2022-11-08,FALSE,62954,Michael J. Moran,Democratic,Boston
Legislative,8,State Representative,Eighteenth Worcester,18th Worcester,58891,154504,2022-11-08,FALSE,78070,Joseph D. Mckenna,Republican,Webster
Legislative,8,State Representative,Eighth Bristol,8th Bristol,58749,154357,2022-11-08,FALSE,74519,"Paul Schmid, III",Democratic,Westport
Legislative,8,State Representative,Eighth Essex,8th Essex,58763,154544,2022-11-08,FALSE,88400,Jennifer Wb Armini,Democratic,Marblehead
Legislative,8,State Representative,Eighth Hampden,8th Hampden,58783,154494,2022-11-08,FALSE,88366,Shirley B. Arriaga,Democratic,Chicopee
Legislative,8,State Representative,Eighth Middlesex,8th Middlesex,58798,154533,2022-11-08,FALSE,72935,James Arena-DeRosa,Democratic,Holliston
Legislative,8,State Representative,Eighth Norfolk,8th Norfolk,58835,154554,2022-11-08,FALSE,82268,Ted Philips,Democratic,Sharon
Legislative,8,State Representative,Eighth Plymouth,8th Plymouth,58850,154475,2022-11-08,FALSE,62908,Angelo L. D'Emilia,Republican,Bridgewater
Legislative,8,State Representative,Eighth Suffolk,8th Suffolk,58862,154448,2022-11-08,FALSE,77853,Jay D. Livingstone,Democratic,Boston
Legislative,8,State Representative,Eighth Worcester,8th Worcester,58881,154432,2022-11-08,FALSE,78013,Michael J. Soter,Republican,Bellingham
Legislative,8,State Representative,Eleventh Bristol,11th Bristol,58752,154561,2022-11-08,FALSE,78542,Christopher Hendricks,Democratic,New Bedford
Legislative,8,State Representative,Eleventh Essex,11th Essex,58766,154545,2022-11-08,FALSE,78680,Peter L. Capano,Democratic,Lynn
Legislative,8,State Representative,Eleventh Hampden,11th Hampden,58786,154579,2022-11-08,FALSE,72455,Bud L. Williams,Democratic,Springfield
Legislative,8,State Representative,Eleventh Middlesex,11th Middlesex,58801,154563,2022-11-08,FALSE,62813,Kay S. Khan,Democratic,Newton
Legislative,8,State Representative,Eleventh Norfolk,11th Norfolk,58838,154502,2022-11-08,FALSE,62881,Paul McMurtry,Democratic,Dedham
Legislative,8,State Representative,Eleventh Plymouth,11th Plymouth,58853,154477,2022-11-08,FALSE,88356,Rita A. Mendes,Democratic,Brockton
