office_branch,office_id,office,district,district_display,district_id,election_id,election_date,is_special,total_votes,blank_votes,all_other_votes,num_candidates,id_winner,name_winner,display_winner,city_town_winner,party_winner,id_incumbent,name_incumbent,display_incumbent,city_town_incumbent,party_incumbent,id_dem,name_dem,display_dem,city_town_dem,votes_dem,percent_dem,id_gop,name_gop,display_gop,city_town_gop,votes_gop,percent_gop,id_third_party,name_third_party,display_third_party,city_town_third_party,votes_third_party,percent_third_party,party_third_party,id_write_in,name_write_in,display_write_in,city_town_write_in,votes_write_in,percent_write_in,party_write_in,election_year,incumbent_status,dem_win,dem_margin,pres_elec,pvi_year,PVI_N,PVI
Legislative,8,State Representative,Third Suffolk,3rd Suffolk,58857,104707,2009-06-16,TRUE,2749,4,19,3,62921,Aaron M. Michlewitz,Aaron M. Michlewitz (D-Boston),Boston,Democratic,NA,NA,NA,NA,NA,62921,Aaron M. Michlewitz,Aaron M. Michlewitz (D-Boston),Boston,2190,0.8033749082905356,73698,David Trumbull,David Trumbull (R-Boston),Boston,120,0.04402054292002935,73699,John A. Keith,John A. Keith (U-Boston),Boston,407,0.14930300807043287,Unenrolled,73695,Susan M. Passoni,Susan M. Passoni (D-Boston),Boston,9,0.0033015407190022,Democratic,2009,No_Incumbent,TRUE,65.40719002201027,FALSE,2008,27.14630652487176,D+27
Legislative,8,State Representative,Second Barnstable,2nd Barnstable,58734,104541,2008-11-04,FALSE,19261,1675,3,2,62659,Demetrius J. Atsalis,Demetrius J. Atsalis (D-Barnstable),Barnstable,Democratic,62659,Demetrius J. Atsalis,Demetrius J. Atsalis (D-Barnstable),Barnstable,Democratic,62659,Demetrius J. Atsalis,Demetrius J. Atsalis (D-Barnstable),Barnstable,12359,0.7028948416083717,NA,NA,NA,NA,NA,NA,63096,Carl D. Yingling,Carl D. Yingling (U-Barnstable),Barnstable,5224,0.29710515839162827,Unenrolled,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,40.57896832167434,TRUE,2008,4.220376152456796,D+4
Legislative,8,State Representative,Third Barnstable,3rd Barnstable,58735,104542,2008-11-04,FALSE,23636,1960,30,2,62661,Matthew C. Patrick,Matthew C. Patrick (D-Falmouth),Falmouth,Democratic,62661,Matthew C. Patrick,Matthew C. Patrick (D-Falmouth),Falmouth,Democratic,62661,Matthew C. Patrick,Matthew C. Patrick (D-Falmouth),Falmouth,12898,0.5958606670978471,NA,NA,NA,NA,NA,NA,63097,Carey M. Murphy,Carey M. Murphy (U-Falmouth),Falmouth,8748,0.4041393329021528,Unenrolled,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,19.17213341956943,TRUE,2008,2.6369508867646108,D+3
Legislative,8,State Representative,Fourth Barnstable,4th Barnstable,58736,104604,2008-11-04,FALSE,27490,1224,6,2,62665,Sarah K. Peake,Sarah K. Peake (D-Provincetown),Provincetown,Democratic,62665,Sarah K. Peake,Sarah K. Peake (D-Provincetown),Provincetown,Democratic,62665,Sarah K. Peake,Sarah K. Peake (D-Provincetown),Provincetown,17823,0.6787128712871288,63098,Donald F. Howell,Donald F. Howell (R-Harwich),Harwich,8437,0.3212871287128713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,35.742574257425744,TRUE,2008,9.94741686306594,D+10
Legislative,8,State Representative,Fifth Barnstable,5th Barnstable,58737,104540,2008-11-04,FALSE,24058,1478,10,2,72428,Jeffrey Davis Perry,Jeffrey Davis Perry (R-Sandwich),Sandwich,Republican,72428,Jeffrey Davis Perry,Jeffrey Davis Perry (R-Sandwich),Sandwich,Republican,73666,Glenn S. Pare,Glenn S. Pare (D-Sandwich),Sandwich,6790,0.30084182543198934,72428,Jeffrey Davis Perry,Jeffrey Davis Perry (R-Sandwich),Sandwich,15780,0.6991581745680107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-39.83163491360213,TRUE,2008,0.6832128009784721,D+1
Legislative,8,State Representative,"Barnstable, Dukes and Nantucket","Barnstable, Dukes and Nantucket",62910,104503,2008-11-04,FALSE,25658,2129,61,4,62668,Timothy R. Madden,Timothy R. Madden (U-Nantucket),Nantucket,Unenrolled,NA,NA,NA,NA,NA,63102,Daniel James Larkosh,Daniel James Larkosh (D-West Tisbury),West Tisbury,7519,0.4407902450463126,NA,NA,NA,NA,NA,NA,62668,Timothy R. Madden,Timothy R. Madden (U-Nantucket),Nantucket,9539,0.5592097549536874,Unenrolled,NA,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,FALSE,-11.841950990737482,TRUE,2008,17.433458063126384,D+17
Legislative,8,State Representative,First Bristol,1st Bristol,58742,104634,2008-11-04,FALSE,20023,1524,12,2,62682,Fred Jay Barrows,Fred Jay Barrows (R-Mansfield),Mansfield,Republican,62682,Fred Jay Barrows,Fred Jay Barrows (R-Mansfield),Mansfield,Republican,63109,Devin P. Romanul,Devin P. Romanul (D-Mansfield),Mansfield,7164,0.3875155514685995,62682,Fred Jay Barrows,Fred Jay Barrows (R-Mansfield),Mansfield,11323,0.6124844485314005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-22.4968897062801,TRUE,2008,1.891815202602498,D+2
Legislative,8,State Representative,Second Bristol,2nd Bristol,58743,104526,2008-11-04,FALSE,17162,901,32,2,73660,Bill Bowles,Bill Bowles (D-Attleboro),Attleboro,Democratic,NA,NA,NA,NA,NA,73660,Bill Bowles,Bill Bowles (D-Attleboro),Attleboro,8768,0.5402674225152505,62685,George T. Ross,George T. Ross (R-Attleboro),Attleboro,7461,0.4597325774847495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,8.0534845030501,TRUE,2008,5.428373495761019,D+5
Legislative,8,State Representative,Seventh Bristol,7th Bristol,58748,104631,2008-11-04,FALSE,12440,1011,6,2,62694,Kevin Aguiar,Kevin Aguiar (D-Fall River),Fall River,Democratic,62694,Kevin Aguiar,Kevin Aguiar (D-Fall River),Fall River,Democratic,62694,Kevin Aguiar,Kevin Aguiar (D-Fall River),Fall River,9217,0.806880854416528,62695,C.J. Ferry,C.J. Ferry (R-Fall River),Fall River,2206,0.19311914558347193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,61.376170883305605,TRUE,2008,25.76186499711942,D+26
Legislative,8,State Representative,Fourth Essex,4th Essex,58759,104587,2008-11-04,FALSE,23833,1657,7,2,62719,Bradford R. Hill,Bradford R. Hill (R-Ipswich),Ipswich,Republican,62719,Bradford R. Hill,Bradford R. Hill (R-Ipswich),Ipswich,Republican,63114,Donald R. Bumiller,Donald R. Bumiller (D-Boxford),Boxford,6390,0.28824033560377105,62719,Bradford R. Hill,Bradford R. Hill (R-Ipswich),Ipswich,15779,0.711759664396229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-42.351932879245794,TRUE,2008,1.7799598525587323,D+2
