acs_endpoint_year,acs_window,geoid,census_name,boundary_tag,redistricting_cycle,total_population,median_hh_income,median_hh_income_moe,white_pct,black_pct,hispanic_pct,asian_pct,multiracial_pct,other_pct
2009,2005-2009,25051,"First Suffolk District (2006), Massachusetts",2006,2001 plan (elections 2002-2010),168759,48942,1889,37.20749708163713,38.221368934397574,11.994026985227455,6.719049058124307,1.5388808893155328,4.319177051298005
2010,2006-2010,25051,"First Suffolk District (2010), Massachusetts",2010,2001 plan (elections 2002-2010),159515,49217,2306,32.88656239225151,41.18170704949378,13.295301382315143,7.4851894806131085,1.6970190891138763,3.4542206062125818
2011,2007-2011,25051,"First Suffolk District (2010), Massachusetts",2010,2001 plan (elections 2002-2010),163956,50067,1860,32.80758252214009,40.90792651687038,13.02239625265315,8.000317158261973,1.8901412574105247,3.3716362926638856
2012,2008-2012,25001,"First Suffolk District (2012), Massachusetts",2012,2011 plan (elections 2012-2020),162710,53396,1235,33.508081863438015,39.87216520189294,12.7306250384119,8.906643721959314,2.138159916415709,2.8443242578821217
2013,2009-2013,25001,"First Suffolk District (2012), Massachusetts",2012,2011 plan (elections 2012-2020),167180,54179,2012,34.28520157913626,38.94185907405192,12.850221318339514,8.371814810384016,2.4518483072137816,3.0990549108745067
2014,2010-2014,25001,"First Suffolk District (2014), Massachusetts",2014,2011 plan (elections 2012-2020),169041,54547,1843,34.04558657367148,38.77402523648109,12.757851645458794,8.696706716122124,2.5354795582136878,3.1903502700528272
2015,2011-2015,25001,"First Suffolk District (2014), Massachusetts",2014,2011 plan (elections 2012-2020),173832,56488,2277,34.13353122555111,38.4514933959225,13.320332274840075,8.881563808734871,2.3200561461641125,2.893023148787335
2016,2012-2016,25001,"First Suffolk District (2016), Massachusetts",2016,2011 plan (elections 2012-2020),175891,60371,1513,34.097253412624866,39.24248540289156,13.672672279991586,8.292635780113821,2.3560045710127295,2.3389485533654364
2017,2013-2017,25001,"First Suffolk District (2016), Massachusetts",2016,2011 plan (elections 2012-2020),177752,63168,1428,33.74926864395337,39.401525721229575,14.339641748053468,7.932400198028714,2.471983437598452,2.1051802511364146
2018,2014-2018,25001,"First Suffolk District (2018), Massachusetts",2018,2011 plan (elections 2012-2020),178854,66536,1848,33.544678900108465,39.518266295414136,14.7304505350733,8.25030471781453,2.322005658246391,1.6342938933431737
2019,2015-2019,25001,"First Suffolk District (2018), Massachusetts",2018,2011 plan (elections 2012-2020),182055,71402,2850,33.94303919145313,38.56197303012826,15.568372195215732,8.460630029386724,2.218560325176458,1.2474252286396967
2020,2016-2020,25001,"First Suffolk District (2018), Massachusetts",2018,2011 plan (elections 2012-2020),180574,78205,3658,34.7220530087388,37.136575586740065,15.343294161950226,8.150675069500593,3.4512166757118967,1.1961854973584236
2021,2017-2021,25001,"First Suffolk District (2018), Massachusetts",2018,2011 plan (elections 2012-2020),175709,84952,3132,34.06484585308664,36.38515955358007,15.480140459509757,8.206181811973206,4.790875823093866,1.0727964987564667
2022,2018-2022,25D30,"First Suffolk District (2022), Massachusetts",2022,2021 plan (elections 2022-),180555,100240,4362,45.72678685165185,20.55052477084545,14.142505053861704,12.713023732380716,5.610478801473235,1.2566807897870456
2023,2019-2023,25D30,First Suffolk District (2022); Massachusetts,2022,2021 plan (elections 2022-),183560,107848,3723,46.2611680104598,20.003268685988232,13.30028328611898,12.732621486162563,6.417520156896927,1.2851383743735019
2024,2020-2024,25D30,First Suffolk District (2024); Massachusetts,2024,2021 plan (elections 2022-),184982,112798,4333,45.53091652160751,18.788855131850667,13.607810489669266,13.129385561838449,7.746699678887675,1.1963326161464358
