election_date,party,party_abbr,office,district,district_display,city_town,candidate_name,candidate_city_town,is_incumbent,votes,town_total_votes,percent,precincts_reporting,precincts_total,eevp,race_call_status,results_final,snapshot_time,last_updated
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Adams,John Barrett,North Adams,1,774,1350,0.5733333333333334,5,5,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Adams,Andrew J. Fitch,North Adams,0,576,1350,0.4266666666666667,5,5,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Cheshire,John Barrett,North Adams,1,267,472,0.565677966101695,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Cheshire,Andrew J. Fitch,North Adams,0,205,472,0.4343220338983051,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Clarksburg,John Barrett,North Adams,1,163,288,0.5659722222222222,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Clarksburg,Andrew J. Fitch,North Adams,0,125,288,0.4340277777777778,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Florida,John Barrett,North Adams,1,48,88,0.5454545454545454,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Florida,Andrew J. Fitch,North Adams,0,40,88,0.4545454545454545,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Hancock,John Barrett,North Adams,1,53,102,0.5196078431372549,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Hancock,Andrew J. Fitch,North Adams,0,49,102,0.4803921568627451,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Hinsdale,John Barrett,North Adams,1,157,270,0.5814814814814815,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T17:45:51.342000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Hinsdale,Andrew J. Fitch,North Adams,0,113,270,0.4185185185185185,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T17:45:51.342000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Lanesborough,John Barrett,North Adams,1,231,459,0.5032679738562091,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Lanesborough,Andrew J. Fitch,North Adams,0,228,459,0.4967320261437908,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,New Ashford,John Barrett,North Adams,1,18,33,0.5454545454545454,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,New Ashford,Andrew J. Fitch,North Adams,0,15,33,0.4545454545454545,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,North Adams,John Barrett,North Adams,1,1161,2278,0.509657594381036,5,5,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,North Adams,Andrew J. Fitch,North Adams,0,1117,2278,0.490342405618964,5,5,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Peru,John Barrett,North Adams,1,62,89,0.6966292134831461,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Peru,Andrew J. Fitch,North Adams,0,27,89,0.3033707865168539,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Savoy,Andrew J. Fitch,North Adams,0,36,70,0.5142857142857142,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Savoy,John Barrett,North Adams,1,34,70,0.4857142857142857,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Williamstown,Andrew J. Fitch,North Adams,0,920,1531,0.6009144350097975,3,3,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Williamstown,John Barrett,North Adams,1,611,1531,0.3990855649902025,3,3,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Windsor,John Barrett,North Adams,1,86,141,0.6099290780141844,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Berkshire,1st Berkshire,Windsor,Andrew J. Fitch,North Adams,0,55,141,0.3900709219858156,1,1,98.99,Called,0,2026-09-03T10:54:25.372Z,2026-09-02T14:43:34.816000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Ashfield,Lora L. Wondolowski,Greenfield,0,236,456,0.5175438596491229,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T02:14:14.484000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Ashfield,Corinne Ellen Coryat,Deerfield,0,220,456,0.4824561403508772,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T02:14:14.484000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Bernardston,Corinne Ellen Coryat,Deerfield,0,191,335,0.5701492537313433,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T03:35:05.895000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Bernardston,Lora L. Wondolowski,Greenfield,0,144,335,0.4298507462686567,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T03:35:05.895000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Buckland,Corinne Ellen Coryat,Deerfield,0,231,407,0.5675675675675675,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T05:31:24.270000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Buckland,Lora L. Wondolowski,Greenfield,0,176,407,0.4324324324324324,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T05:31:24.270000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Charlemont,Corinne Ellen Coryat,Deerfield,0,124,220,0.5636363636363636,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T05:05:46.148000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Charlemont,Lora L. Wondolowski,Greenfield,0,96,220,0.4363636363636363,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T05:05:46.148000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Colrain,Lora L. Wondolowski,Greenfield,0,174,287,0.6062717770034843,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T18:10:37.246000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Colrain,Corinne Ellen Coryat,Deerfield,0,113,287,0.3937282229965156,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T18:10:37.246000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Conway,Corinne Ellen Coryat,Deerfield,0,233,446,0.5224215246636771,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T13:54:09.894000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Conway,Lora L. Wondolowski,Greenfield,0,213,446,0.4775784753363228,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T13:54:09.894000Z
2026-09-01,Democratic,D,State Representative,First Franklin,1st Franklin,Deerfield,Corinne Ellen Coryat,Deerfield,0,670,1141,0.5872042068361086,1,1,98.98,Too Early to Call,0,2026-09-03T10:54:25.372Z,2026-09-02T02:39:01.486000Z
